   BENCHMARK INFORMATION
SPF
benchmark definition:    ../../benchmark-defs/spf.xml
name:                    spf
run sets:                SV-COMP25_assert_java.ReachSafety-Java
date:                    Tue, 2025-08-19 17:11:42 IST
tool:                    SPF Tue Aug 19 05:02:33 PM IST 2025
tool executable:         ./jpf-sv-comp
options:
resource limits:
- memory:                15000.0 MB
- time:                  900 s
- cpu cores:             4
hardware requirements:
- cpu model:             Intel Xeon E3-1230 v5 @ 3.40 GHz
- cpu cores:             4
- memory:                15000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    rcbook
os:                      Linux-6.15.9-201.fc42.x86_64-x86_64-with-glibc2.41
cpu:                     AMD Ryzen 5 5600H with Radeon Graphics
- cores:                 12
- max frequency:         4280.985 MHz
- turbo boost enabled:   True
ram:                     16126.984192 MB
------------------------------------------------------------



SV-COMP25_assert_java.ReachSafety-Java
Run set 1 of 1 with options '' and propertyfile 'None'

inputfile                                                                               status                       cpu time   wall time        host
-----------------------------------------------------------------------------------------------------------------------------------------------------
jayhorn-recursive/Ackermann01.yml                                                       false                            2.37        1.13        None
jayhorn-recursive/Addition.yml                                                          true                             2.43        1.14        None
jayhorn-recursive/InfiniteLoop.yml                                                      false                            2.32        1.11        None
jayhorn-recursive/SatAckermann01.yml                                                    true                            11.94        6.75        None
jayhorn-recursive/SatAckermann02.yml                                                    true                            11.57        6.53        None
jayhorn-recursive/SatAckermann03.yml                                                    true                            12.32        7.05        None
jayhorn-recursive/SatAddition01.yml                                                     true                             2.55        1.17        None
jayhorn-recursive/SatEvenOdd01.yml                                                      true                             2.56        1.23        None
jayhorn-recursive/SatFibonacci01.yml                                                    true                             4.47        1.77        None
jayhorn-recursive/SatFibonacci02.yml                                                    true                             2.07        1.02        None
jayhorn-recursive/SatFibonacci03.yml                                                    true                             4.29        1.68        None
jayhorn-recursive/SatGcd.yml                                                            true                             3.50        1.46        None
jayhorn-recursive/SatHanoi01.yml                                                        true                             7.04        3.24        None
jayhorn-recursive/SatMccarthy91.yml                                                     true                             9.28        5.00        None
jayhorn-recursive/SatMultCommutative01.yml                                              true                             2.87        1.26        None
jayhorn-recursive/SatPrimes01.yml                                                       TIMEOUT                        900.54      843.17        None
jayhorn-recursive/UnsatAckermann01.yml                                                  false                            2.49        1.24        None
jayhorn-recursive/UnsatAddition01.yml                                                   false                            2.48        1.19        None
jayhorn-recursive/UnsatAddition02.yml                                                   true                             2.78        1.27        None
jayhorn-recursive/UnsatEvenOdd01.yml                                                    false                            2.42        1.18        None
jayhorn-recursive/UnsatFibonacci01.yml                                                  false                            2.61        1.23        None
jayhorn-recursive/UnsatFibonacci02.yml                                                  false                            3.34        1.41        None
jayhorn-recursive/UnsatMccarthy91.yml                                                   false                            2.37        1.15        None
jbmc-regression/ArithmeticException1.yml                                                false                            2.44        1.18        None
jbmc-regression/ArithmeticException5.yml                                                true                             2.10        1.03        None
jbmc-regression/ArithmeticException6.yml                                                false                            2.40        1.15        None
jbmc-regression/ArrayIndexOutOfBoundsException1.yml                                     false                            2.35        1.14        None
jbmc-regression/ArrayIndexOutOfBoundsException2.yml                                     false                            2.44        1.17        None
jbmc-regression/ArrayIndexOutOfBoundsException3.yml                                     false                            2.43        1.19        None
jbmc-regression/BufferedReaderReadLine.yml                                              false                            2.49        1.17        None
jbmc-regression/CharSequenceBug.yml                                                     false                            2.37        1.14        None
jbmc-regression/CharSequenceToString.yml                                                true                             2.59        1.26        None
jbmc-regression/ClassCastException1.yml                                                 false                            2.13        1.03        None
jbmc-regression/ClassCastException2.yml                                                 true                             2.18        1.06        None
jbmc-regression/ClassCastException3.yml                                                 false                            2.13        1.02        None
jbmc-regression/Class_method1.yml                                                       true                             2.11        1.03        None
jbmc-regression/Inheritance1.yml                                                        true                             2.12        1.03        None
jbmc-regression/NegativeArraySizeException1.yml                                         false                            2.14        1.04        None
jbmc-regression/NegativeArraySizeException2.yml                                         false                            2.22        1.04        None
jbmc-regression/NullPointerException1.yml                                               unknown                          2.12        1.02        None
jbmc-regression/NullPointerException2.yml                                               false                            2.19        1.04        None
jbmc-regression/NullPointerException3.yml                                               false                            2.22        1.04        None
jbmc-regression/NullPointerException4.yml                                               false                            2.14        1.04        None
jbmc-regression/RegexMatches01.yml                                                      true                             2.17        1.04        None
jbmc-regression/RegexMatches02.yml                                                      unknown                          2.24        1.08        None
jbmc-regression/RegexSubstitution01.yml                                                 true                             2.25        1.07        None
jbmc-regression/RegexSubstitution02.yml                                                 unknown                          2.24        1.07        None
jbmc-regression/RegexSubstitution03.yml                                                 true                             2.29        1.07        None
jbmc-regression/StaticCharMethods01.yml                                                 true                             2.16        1.06        None
jbmc-regression/StaticCharMethods02.yml                                                 unknown                          2.38        1.15        None
jbmc-regression/StaticCharMethods03.yml                                                 unknown                          2.28        1.10        None
jbmc-regression/StaticCharMethods04.yml                                                 false                            2.33        1.15        None
jbmc-regression/StaticCharMethods05.yml                                                 unknown                          2.27        1.06        None
jbmc-regression/StaticCharMethods06.yml                                                 unknown                          2.35        1.14        None
jbmc-regression/StringBuilderAppend01.yml                                               true                             2.31        1.08        None
jbmc-regression/StringBuilderAppend02.yml                                               unknown                          2.38        1.13        None
jbmc-regression/StringBuilderCapLen01.yml                                               true                             2.25        1.09        None
jbmc-regression/StringBuilderCapLen02.yml                                               false                            2.51        1.20        None
jbmc-regression/StringBuilderCapLen03.yml                                               false                            2.43        1.18        None
jbmc-regression/StringBuilderCapLen04.yml                                               unknown                          2.24        1.07        None
jbmc-regression/StringBuilderChars01.yml                                                true                             2.39        1.15        None
jbmc-regression/StringBuilderChars02.yml                                                false                            2.83        1.43        None
jbmc-regression/StringBuilderChars03.yml                                                unknown                          2.28        1.12        None
jbmc-regression/StringBuilderChars04.yml                                                unknown                          2.20        1.09        None
jbmc-regression/StringBuilderChars05.yml                                                unknown                          2.21        1.07        None
jbmc-regression/StringBuilderChars06.yml                                                unknown                          2.26        1.06        None
jbmc-regression/StringBuilderConstructors01.yml                                         true                             2.41        1.17        None
jbmc-regression/StringBuilderConstructors02.yml                                         unknown                          2.27        1.08        None
jbmc-regression/StringBuilderInsertDelete01.yml                                         true                             2.59        1.21        None
jbmc-regression/StringBuilderInsertDelete02.yml                                         unknown                          2.41        1.13        None
jbmc-regression/StringBuilderInsertDelete03.yml                                         unknown                          2.52        1.23        None
jbmc-regression/StringCompare01.yml                                                     true                             2.50        1.22        None
jbmc-regression/StringCompare02.yml                                                     unknown                          2.39        1.21        None
jbmc-regression/StringCompare03.yml                                                     unknown                          2.39        1.22        None
jbmc-regression/StringCompare04.yml                                                     unknown                          2.18        1.06        None
jbmc-regression/StringCompare05.yml                                                     false                            2.19        1.03        None
jbmc-regression/StringConcatenation01.yml                                               true                             2.60        1.23        None
jbmc-regression/StringConcatenation02.yml                                               false                            2.45        1.16        None
jbmc-regression/StringConcatenation03.yml                                               false                            2.53        1.19        None
jbmc-regression/StringConcatenation04.yml                                               false                            2.47        1.19        None
jbmc-regression/StringConstructors01.yml                                                true                             2.27        1.07        None
jbmc-regression/StringConstructors02.yml                                                false                            2.55        1.21        None
jbmc-regression/StringConstructors03.yml                                                false                            2.25        1.12        None
jbmc-regression/StringConstructors04.yml                                                false                            2.46        1.17        None
