   BENCHMARK INFORMATION
SPF
benchmark definition:    ../../benchmark-defs/spf.xml
name:                    spf
run sets:                SV-COMP25_assert_java.ReachSafety-Java
date:                    Sun, 2025-07-27 19:02:15 IST
tool:                    SPF Sun Jul 27 06:24:35 PM IST 2025
tool executable:         ./jpf-sv-comp
options:
resource limits:
- memory:                15000.0 MB
- time:                  900 s
- cpu cores:             4
hardware requirements:
- cpu model:             Intel Xeon E3-1230 v5 @ 3.40 GHz
- cpu cores:             4
- memory:                15000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    rcbook
os:                      Linux-6.15.4-200.fc42.x86_64-x86_64-with-glibc2.41
cpu:                     AMD Ryzen 5 5600H with Radeon Graphics
- cores:                 12
- max frequency:         4280.985 MHz
- turbo boost enabled:   True
ram:                     16126.988288 MB
------------------------------------------------------------



SV-COMP25_assert_java.ReachSafety-Java
Run set 1 of 1 with options '' and propertyfile 'None'

inputfile                                                                               status                       cpu time   wall time        host
-----------------------------------------------------------------------------------------------------------------------------------------------------
jayhorn-recursive/Ackermann01.yml                                                       false                            2.05        0.99        None
jayhorn-recursive/Addition.yml                                                          false                            2.60        1.15        None
jayhorn-recursive/InfiniteLoop.yml                                                      false                            2.02        0.98        None
jayhorn-recursive/SatAckermann01.yml                                                    TIMEOUT                        900.24      862.36        None
jayhorn-recursive/SatAckermann02.yml                                                    TIMEOUT                        900.46      855.21        None
jayhorn-recursive/SatAckermann03.yml                                                    TIMEOUT                        900.21      860.59        None
jayhorn-recursive/SatAddition01.yml                                                     unknown                          7.85        6.04        None
jayhorn-recursive/SatEvenOdd01.yml                                                      unknown                          2.13        1.02        None
jayhorn-recursive/SatFibonacci01.yml                                                    false                            2.18        1.04        None
jayhorn-recursive/SatFibonacci02.yml                                                    true                             2.07        0.98        None
jayhorn-recursive/SatFibonacci03.yml                                                    true                             2.64        1.15        None
jayhorn-recursive/SatGcd.yml                                                            unknown                         11.49        9.66        None
jayhorn-recursive/SatHanoi01.yml                                                        TIMEOUT                        900.40      854.74        None
jayhorn-recursive/SatMccarthy91.yml                                                     false                            2.00        0.97        None
jayhorn-recursive/SatMultCommutative01.yml                                              false                            2.39        1.06        None
jayhorn-recursive/SatPrimes01.yml                                                       false                            4.02        1.90        None
jayhorn-recursive/UnsatAckermann01.yml                                                  TIMEOUT                        900.28      857.55        None
jayhorn-recursive/UnsatAddition01.yml                                                   unknown                          7.62        5.97        None
jayhorn-recursive/UnsatAddition02.yml                                                   true                             2.90        1.22        None
jayhorn-recursive/UnsatEvenOdd01.yml                                                    unknown                          2.05        1.00        None
jayhorn-recursive/UnsatFibonacci01.yml                                                  true                             2.62        1.14        None
jayhorn-recursive/UnsatFibonacci02.yml                                                  true                             2.58        1.10        None
jayhorn-recursive/UnsatMccarthy91.yml                                                   false                            2.02        0.99        None
jbmc-regression/ArithmeticException1.yml                                                false                            2.00        0.99        None
jbmc-regression/ArithmeticException5.yml                                                true                             1.88        0.91        None
jbmc-regression/ArithmeticException6.yml                                                false                            2.06        1.00        None
jbmc-regression/ArrayIndexOutOfBoundsException1.yml                                     unknown                          2.02        0.96        None
jbmc-regression/ArrayIndexOutOfBoundsException2.yml                                     unknown                          1.97        0.97        None
jbmc-regression/ArrayIndexOutOfBoundsException3.yml                                     unknown                          2.05        0.98        None
jbmc-regression/BufferedReaderReadLine.yml                                              false                            2.15        1.03        None
jbmc-regression/CharSequenceBug.yml                                                     false                            2.00        0.97        None
jbmc-regression/CharSequenceToString.yml                                                false                            2.05        0.99        None
jbmc-regression/ClassCastException1.yml                                                 false                            1.86        0.90        None
jbmc-regression/ClassCastException2.yml                                                 true                             1.90        0.92        None
jbmc-regression/ClassCastException3.yml                                                 false                            1.95        0.94        None
jbmc-regression/Class_method1.yml                                                       true                             1.92        0.93        None
jbmc-regression/Inheritance1.yml                                                        true                             1.91        0.90        None
jbmc-regression/NegativeArraySizeException1.yml                                         false                            1.90        0.92        None
jbmc-regression/NegativeArraySizeException2.yml                                         false                            1.93        0.95        None
jbmc-regression/NullPointerException1.yml                                               true                             1.85        0.90        None
jbmc-regression/NullPointerException2.yml                                               false                            1.90        0.93        None
jbmc-regression/NullPointerException3.yml                                               false                            1.89        0.91        None
jbmc-regression/NullPointerException4.yml                                               false                            1.96        0.96        None
jbmc-regression/RegexMatches01.yml                                                      true                             1.95        0.94        None
jbmc-regression/RegexMatches02.yml                                                      true                             2.05        0.97        None
jbmc-regression/RegexSubstitution01.yml                                                 true                             2.01        0.95        None
jbmc-regression/RegexSubstitution02.yml                                                 unknown                          2.03        0.97        None
jbmc-regression/RegexSubstitution03.yml                                                 true                             1.99        0.95        None
jbmc-regression/StaticCharMethods01.yml                                                 true                             1.96        0.95        None
jbmc-regression/StaticCharMethods02.yml                                                 false                            1.98        0.97        None
jbmc-regression/StaticCharMethods03.yml                                                 false                            2.01        1.00        None
jbmc-regression/StaticCharMethods04.yml                                                 false                            1.92        0.93        None
jbmc-regression/StaticCharMethods05.yml                                                 unknown                          2.04        0.98        None
jbmc-regression/StaticCharMethods06.yml                                                 true                             2.12        1.01        None
jbmc-regression/StringBuilderAppend01.yml                                               true                             2.03        0.95        None
jbmc-regression/StringBuilderAppend02.yml                                               unknown                          1.96        0.93        None
jbmc-regression/StringBuilderCapLen01.yml                                               true                             1.96        0.94        None
jbmc-regression/StringBuilderCapLen02.yml                                               false                            1.91        0.92        None
jbmc-regression/StringBuilderCapLen03.yml                                               unknown                          1.88        0.92        None
jbmc-regression/StringBuilderCapLen04.yml                                               unknown                          1.88        0.92        None
jbmc-regression/StringBuilderChars01.yml                                                true                             2.00        0.94        None
jbmc-regression/StringBuilderChars02.yml                                                false                            2.00        0.96        None
jbmc-regression/StringBuilderChars03.yml                                                unknown                          1.92        0.92        None
jbmc-regression/StringBuilderChars04.yml                                                unknown                          2.01        0.96        None
jbmc-regression/StringBuilderChars05.yml                                                unknown                          1.96        0.95        None
jbmc-regression/StringBuilderChars06.yml                                                unknown                          1.92        0.91        None
jbmc-regression/StringBuilderConstructors01.yml                                         unknown                          2.02        0.98        None
jbmc-regression/StringBuilderConstructors02.yml                                         unknown                          1.99        0.95        None
jbmc-regression/StringBuilderInsertDelete01.yml                                         true                             2.02        0.96        None
jbmc-regression/StringBuilderInsertDelete02.yml                                         unknown                          2.04        0.97        None
jbmc-regression/StringBuilderInsertDelete03.yml                                         unknown                          2.04        0.96        None
jbmc-regression/StringCompare01.yml                                                     true                             1.92        0.92        None
jbmc-regression/StringCompare02.yml                                                     unknown                          1.83        0.90        None
jbmc-regression/StringCompare03.yml                                                     unknown                          1.89        0.91        None
jbmc-regression/StringCompare04.yml                                                     unknown                          1.89        0.91        None
jbmc-regression/StringCompare05.yml                                                     false                            1.89        0.92        None
jbmc-regression/StringConcatenation01.yml                                               false                            1.91        0.92        None
jbmc-regression/StringConcatenation02.yml                                               false                            1.98        0.95        None
jbmc-regression/StringConcatenation03.yml                                               false                            2.01        0.98        None
jbmc-regression/StringConcatenation04.yml                                               false                            2.00        0.97        None
jbmc-regression/StringConstructors01.yml                                                true                             1.88        0.90        None
jbmc-regression/StringConstructors02.yml                                                false                            1.97        0.96        None
jbmc-regression/StringConstructors03.yml                                                false                            2.02        0.96        None
jbmc-regression/StringConstructors04.yml                                                false                            1.96        0.94        None
jbmc-regression/StringConstructors05.yml                                                false                            2.01        0.96        None
jbmc-regression/StringContains01.yml                                                    false                            1.88        0.91        None
jbmc-regression/StringContains02.yml                                                    false                            1.94        0.93        None
jbmc-regression/StringIndexMethods01.yml                                                true                             1.92        0.90        None
jbmc-regression/StringIndexMethods02.yml                                                false                            1.99        0.96        None
jbmc-regression/StringIndexMethods03.yml                                                false                            1.95        0.97        None
jbmc-regression/StringIndexMethods04.yml                                                false                            1.96        0.96        None
jbmc-regression/StringIndexMethods05.yml                                                false                            2.02        1.00        None
jbmc-regression/StringMiscellaneous01.yml                                               true                             1.95        0.92        None
jbmc-regression/StringMiscellaneous02.yml                                               false                            1.99        0.95        None
jbmc-regression/StringMiscellaneous03.yml                                               false                            1.99        0.98        None
jbmc-regression/StringMiscellaneous04.yml                                               true                             1.96        0.92        None
jbmc-regression/StringStartEnd01.yml                                                    true                             1.88        0.92        None
jbmc-regression/StringStartEnd02.yml                                                    false                            1.93        0.93        None
jbmc-regression/StringStartEnd03.yml                                                    false                            2.00        0.95        None
jbmc-regression/StringValueOf01.yml                                                     true                             1.98        0.93        None
jbmc-regression/StringValueOf02.yml                                                     false                            2.02        0.95        None
jbmc-regression/StringValueOf03.yml                                                     false                            1.94        0.93        None
jbmc-regression/StringValueOf04.yml                                                     false                            1.97        0.94        None
jbmc-regression/StringValueOf05.yml                                                     false                            2.07        0.97        None
jbmc-regression/StringValueOf06.yml                                                     false                            1.94        0.93        None
jbmc-regression/StringValueOf07.yml                                                     unknown                          1.88        0.92        None
jbmc-regression/StringValueOf08.yml                                                     unknown                          1.98        0.95        None
jbmc-regression/StringValueOf09.yml                                                     unknown                          2.04        0.97        None
jbmc-regression/StringValueOf10.yml                                                     false                            1.96        0.95        None
jbmc-regression/SubString01.yml                                                         true                             1.93        0.93        None
jbmc-regression/SubString02.yml                                                         false                            1.96        0.94        None
jbmc-regression/SubString03.yml                                                         false                            1.97        0.94        None
jbmc-regression/TokenTest01.yml                                                         true                             2.00        0.94        None
jbmc-regression/TokenTest02.yml                                                         unknown                          1.91        0.91        None
jbmc-regression/Validate01.yml                                                          true                             1.88        0.91        None
jbmc-regression/Validate02.yml                                                          unknown                          1.91        0.93        None
jbmc-regression/aastore_aaload1.yml                                                     unknown                          2.03        0.97        None
jbmc-regression/array1.yml                                                              unknown                          2.02        0.96        None
jbmc-regression/array2.yml                                                              true                             1.96        0.95        None
jbmc-regression/arraylength1.yml                                                        unknown                          7.61        5.98        None
jbmc-regression/arrayread1.yml                                                          unknown                          2.01        0.96        None
jbmc-regression/assert1.yml                                                             true                             1.98        0.97        None
jbmc-regression/assert2.yml                                                             false                            1.95        0.96        None
jbmc-regression/assert3.yml                                                             false                            1.97        0.99        None
jbmc-regression/assert4.yml                                                             false                            1.97        0.95        None
jbmc-regression/assert5.yml                                                             true                             2.04        0.98        None
jbmc-regression/assert6.yml                                                             true                             1.92        0.94        None
jbmc-regression/astore_aload1.yml                                                       true                             2.05        0.95        None
jbmc-regression/athrow1.yml                                                             false                            1.89        0.91        None
jbmc-regression/basic1.yml                                                              true                             1.92        0.92        None
jbmc-regression/bitwise1.yml                                                            unknown                          1.94        0.94        None
jbmc-regression/boolean1.yml                                                            true                             1.98        0.97        None
jbmc-regression/boolean2.yml                                                            true                             2.03        0.97        None
jbmc-regression/bug-test-gen-095.yml                                                    false                            1.89        0.92        None
jbmc-regression/bug-test-gen-119-2.yml                                                  true                             1.90        0.91        None
jbmc-regression/bug-test-gen-119.yml                                                    false                            2.09        0.99        None
jbmc-regression/calc.yml                                                                unknown                          2.02        0.98        None
jbmc-regression/cast1.yml                                                               unknown                          2.13        0.99        None
jbmc-regression/catch1.yml                                                              true                             1.92        0.93        None
jbmc-regression/char1.yml                                                               true                             2.02        0.97        None
jbmc-regression/charArray.yml                                                           unknown                          2.03        0.97        None
jbmc-regression/classtest1.yml                                                          true                             1.85        0.89        None
jbmc-regression/const1.yml                                                              true                             1.97        0.93        None
jbmc-regression/constructor1.yml                                                        true                             1.91        0.89        None
jbmc-regression/enum1.yml                                                               true                             1.89        0.91        None
jbmc-regression/exceptions1.yml                                                         false                            1.93        0.93        None
jbmc-regression/exceptions10.yml                                                        false                            1.95        0.94        None
jbmc-regression/exceptions11.yml                                                        false                            1.87        0.90        None
jbmc-regression/exceptions12.yml                                                        false                            1.94        0.93        None
jbmc-regression/exceptions13.yml                                                        false                            1.84        0.89        None
jbmc-regression/exceptions14.yml                                                        true                             1.95        0.92        None
jbmc-regression/exceptions15.yml                                                        true                             1.92        0.92        None
jbmc-regression/exceptions16.yml                                                        false                            1.97        0.96        None
jbmc-regression/exceptions18.yml                                                        true                             1.87        0.91        None
jbmc-regression/exceptions2.yml                                                         false                            1.90        0.92        None
jbmc-regression/exceptions3.yml                                                         false                            1.88        0.91        None
jbmc-regression/exceptions4.yml                                                         true                             1.92        0.92        None
jbmc-regression/exceptions5.yml                                                         true                             1.94        0.92        None
jbmc-regression/exceptions6.yml                                                         false                            1.88        0.92        None
jbmc-regression/exceptions7.yml                                                         false                            1.96        0.94        None
jbmc-regression/exceptions8.yml                                                         false                            1.91        0.93        None
jbmc-regression/exceptions9.yml                                                         true                             1.94        0.94        None
jbmc-regression/fcmpx_dcmpx1.yml                                                        true                             1.90        0.92        None
jbmc-regression/iarith1.yml                                                             true                             1.85        0.89        None
jbmc-regression/iarith2.yml                                                             true                             1.94        0.92        None
jbmc-regression/if_acmp1.yml                                                            true                             1.87        0.91        None
jbmc-regression/if_expr1.yml                                                            true                             1.93        0.93        None
jbmc-regression/if_icmp1.yml                                                            true                             8.57        7.02        None
jbmc-regression/ifxx1.yml                                                               true                             1.90        0.90        None
jbmc-regression/instanceof1.yml                                                         true                             1.89        0.92        None
jbmc-regression/instanceof2.yml                                                         true                             1.88        0.92        None
jbmc-regression/instanceof3.yml                                                         true                             1.92        0.91        None
jbmc-regression/instanceof4.yml                                                         true                             1.88        0.89        None
jbmc-regression/instanceof5.yml                                                         true                             1.87        0.90        None
jbmc-regression/instanceof6.yml                                                         true                             1.93        0.94        None
jbmc-regression/instanceof7.yml                                                         true                             1.79        0.87        None
jbmc-regression/instanceof8.yml                                                         true                             1.85        0.90        None
jbmc-regression/interface1.yml                                                          false                            1.82        0.88        None
jbmc-regression/java_append_char.yml                                                    false                            2.07        0.98        None
jbmc-regression/lazyloading4.yml                                                        true                             1.85        0.88        None
jbmc-regression/list1.yml                                                               unknown                          2.06        0.96        None
jbmc-regression/long1.yml                                                               true                             1.83        0.88        None
jbmc-regression/lookupswitch1.yml                                                       false                            1.95        0.96        None
jbmc-regression/multinewarray.yml                                                       true                             1.94        0.94        None
jbmc-regression/overloading1.yml                                                        true                             1.88        0.92        None
jbmc-regression/package1.yml                                                            true                             1.91        0.92        None
jbmc-regression/putfield_getfield1.yml                                                  true                             1.90        0.93        None
jbmc-regression/putstatic_getstatic1.yml                                                true                             1.91        0.92        None
jbmc-regression/recursion2.yml                                                          true                             1.89        0.91        None
jbmc-regression/return1.yml                                                             false                            1.96        0.94        None
jbmc-regression/return2.yml                                                             false                            1.98        0.94        None
jbmc-regression/store_load1.yml                                                         true                             1.94        0.92        None
jbmc-regression/swap1.yml                                                               true                             1.91        0.90        None
jbmc-regression/synchronized.yml                                                        true                             1.90        0.92        None
jbmc-regression/tableswitch1.yml                                                        false                            2.02        0.99        None
jbmc-regression/uninitialised1.yml                                                      true                             1.85        0.89        None
jbmc-regression/virtual1.yml                                                            true                             1.83        0.89        None
jbmc-regression/virtual2.yml                                                            false                            1.89        0.93        None
jbmc-regression/virtual4.yml                                                            true                             1.86        0.90        None
jbmc-regression/virtual_function_unwinding.yml                                          true                             1.92        0.92        None
jpf-regression/ExDarko_false.yml                                                        false                            2.08        0.99        None
jpf-regression/ExDarko_true.yml                                                         unknown                          7.62        5.98        None
jpf-regression/ExException_false.yml                                                    false                            2.00        0.96        None
jpf-regression/ExException_true.yml                                                     true                             2.10        1.02        None
jpf-regression/ExGenSymExe_false.yml                                                    false                            1.83        0.89        None
jpf-regression/ExGenSymExe_true.yml                                                     true                             1.91        0.91        None
jpf-regression/ExLazy_false.yml                                                         false                            2.00        0.97        None
jpf-regression/ExLazy_true.yml                                                          true                             1.98        0.98        None
jpf-regression/ExMIT_false.yml                                                          false                            2.02        0.96        None
jpf-regression/ExMIT_true.yml                                                           true                             2.00        0.96        None
jpf-regression/ExSymExe10_false.yml                                                     false                            2.09        1.00        None
jpf-regression/ExSymExe10_true.yml                                                      true                             1.96        0.94        None
jpf-regression/ExSymExe11_false.yml                                                     false                            1.94        0.90        None
jpf-regression/ExSymExe11_true.yml                                                      true                             2.03        0.99        None
jpf-regression/ExSymExe12_false.yml                                                     false                            2.87        1.38        None
jpf-regression/ExSymExe12_true.yml                                                      true                             2.05        0.98        None
jpf-regression/ExSymExe13_false.yml                                                     false                            2.71        1.30        None
jpf-regression/ExSymExe13_true.yml                                                      true                             2.77        1.35        None
jpf-regression/ExSymExe14_false.yml                                                     false                            2.50        1.18        None
jpf-regression/ExSymExe14_true.yml                                                      true                             2.11        1.00        None
jpf-regression/ExSymExe15_false.yml                                                     false                            2.12        1.00        None
jpf-regression/ExSymExe15_true.yml                                                      true                             2.03        0.96        None
jpf-regression/ExSymExe16_false.yml                                                     false                            1.90        0.89        None
jpf-regression/ExSymExe16_true.yml                                                      true                             1.89        0.89        None
jpf-regression/ExSymExe17_false.yml                                                     false                            1.92        0.92        None
jpf-regression/ExSymExe17_true.yml                                                      true                             1.93        0.93        None
jpf-regression/ExSymExe18_false.yml                                                     false                            2.05        0.97        None
jpf-regression/ExSymExe18_true.yml                                                      true                             1.91        0.92        None
jpf-regression/ExSymExe19_false.yml                                                     false                            2.08        1.01        None
jpf-regression/ExSymExe19_true.yml                                                      unknown                          2.06        0.97        None
jpf-regression/ExSymExe1_false.yml                                                      unknown                          2.00        0.96        None
jpf-regression/ExSymExe1_true.yml                                                       true                             1.97        0.96        None
jpf-regression/ExSymExe20_false.yml                                                     unknown                          2.04        0.97        None
jpf-regression/ExSymExe20_true.yml                                                      true                             1.93        0.93        None
jpf-regression/ExSymExe21_false.yml                                                     unknown                          1.98        0.96        None
jpf-regression/ExSymExe21_true.yml                                                      true                             1.94        0.94        None
jpf-regression/ExSymExe25_false.yml                                                     unknown                          7.53        5.97        None
jpf-regression/ExSymExe25_true.yml                                                      true                             1.94        0.94        None
jpf-regression/ExSymExe26_false.yml                                                     unknown                          2.00        0.97        None
jpf-regression/ExSymExe26_true.yml                                                      true                             1.87        0.90        None
jpf-regression/ExSymExe27_false.yml                                                     unknown                          7.47        5.97        None
jpf-regression/ExSymExe27_true.yml                                                      true                             1.87        0.90        None
