tool		SPF Sun Jun 22 08:28:51 PM IST 2025	SPF Sun Jun 22 08:28:51 PM IST 2025	SPF Sun Jun 22 08:28:51 PM IST 2025	SPF Sun Jun 22 08:28:51 PM IST 2025
run set		SV-COMP25_assert_java.ReachSafety-Java	SV-COMP25_assert_java.ReachSafety-Java	SV-COMP25_assert_java.ReachSafety-Java	SV-COMP25_assert_java.ReachSafety-Java
sv-benchmarks/java/		status	cputime (s)	walltime (s)	memory (MB)
jayhorn-recursive/Ackermann01.yml	false	false	3.822346	1.968050970999684	172.990464
jayhorn-recursive/Addition.yml	true	true	4.265166	1.984459651999714	179.064832
jayhorn-recursive/InfiniteLoop.yml	false	false	3.761224	1.8357449360000828	174.309376
jayhorn-recursive/SatAckermann01.yml	true	true	14.66387	8.160262168999907	563.200000
jayhorn-recursive/SatAckermann02.yml	true	true	10.297944	6.050384846999805	592.023552
jayhorn-recursive/SatAckermann03.yml	true	true	10.456903	6.146028771000601	588.906496
jayhorn-recursive/SatAddition01.yml	true	true	2.311205	1.0939327010000852	182.562816
jayhorn-recursive/SatEvenOdd01.yml	true	true	3.748223	1.731980776000455	182.804480
jayhorn-recursive/SatFibonacci01.yml	true	true	6.115338	2.5323538619995816	229.957632
jayhorn-recursive/SatFibonacci02.yml	true	true	3.222526	1.6335716889998366	115.200000
jayhorn-recursive/SatFibonacci03.yml	true	true	6.900646	2.8351201440000295	250.830848
jayhorn-recursive/SatGcd.yml	true	true	5.777436	2.5155933380001443	217.395200
jayhorn-recursive/SatHanoi01.yml	true	true	10.688497	5.0417968000001565	547.045376
jayhorn-recursive/SatMccarthy91.yml	true	true	8.944381	4.85624041400024	564.510720
jayhorn-recursive/SatMultCommutative01.yml	true	true	2.758142	1.2660352240000066	199.528448
jayhorn-recursive/SatPrimes01.yml	true	TIMEOUT	900.704236	834.1306435830002	1815.703552
jayhorn-recursive/UnsatAckermann01.yml	false	false	2.182655	1.0510098150007252	175.390720
jayhorn-recursive/UnsatAddition01.yml	false	false	2.817779	1.321640686000137	177.287168
jayhorn-recursive/UnsatAddition02.yml	false	true	4.590738	2.1348894399998244	211.849216
jayhorn-recursive/UnsatEvenOdd01.yml	false	false	3.958019	1.9353725900000427	174.129152
jayhorn-recursive/UnsatFibonacci01.yml	false	false	4.049776	1.9659319319998758	178.909184
jayhorn-recursive/UnsatFibonacci02.yml	false	false	5.288986	2.318347843999618	219.475968
jayhorn-recursive/UnsatMccarthy91.yml	false	false	3.790365	1.8908405210004275	173.740032
jbmc-regression/ArithmeticException1.yml	false	false	3.69041	1.849971278999874	174.198784
jbmc-regression/ArithmeticException5.yml	true	true	3.23011	1.6756916790000105	114.647040
jbmc-regression/ArithmeticException6.yml	false	false	3.718992	1.8727114690000235	173.318144
jbmc-regression/ArrayIndexOutOfBoundsException1.yml	false	false	3.811546	1.965235974999814	175.357952
jbmc-regression/ArrayIndexOutOfBoundsException2.yml	false	false	3.874971	1.914737924000292	175.095808
jbmc-regression/ArrayIndexOutOfBoundsException3.yml	false	false	3.609498	1.8573902099997213	173.711360
jbmc-regression/BufferedReaderReadLine.yml	false	false	3.911761	1.9458410770002956	175.271936
jbmc-regression/CharSequenceBug.yml	false	false	3.692011	1.8665912160004154	173.428736
jbmc-regression/CharSequenceToString.yml	true	false	3.754767	1.9368696100000307	174.469120
jbmc-regression/ClassCastException1.yml	false	false	3.416951	1.731321886999467	117.518336
jbmc-regression/ClassCastException2.yml	true	true	3.411859	1.7382043699999485	115.449856
jbmc-regression/ClassCastException3.yml	false	false	3.484407	1.7628205639994121	113.860608
jbmc-regression/Class_method1.yml	true	true	3.336034	1.7589453370001138	116.326400
jbmc-regression/Inheritance1.yml	true	true	3.363617	1.7233424839996587	116.305920
jbmc-regression/NegativeArraySizeException1.yml	false	false	3.314303	1.7458036400003039	115.150848
jbmc-regression/NegativeArraySizeException2.yml	false	false	3.276279	1.6992785590000494	115.245056
jbmc-regression/NullPointerException1.yml	true	true	3.323429	1.7190045880006437	115.879936
jbmc-regression/NullPointerException2.yml	false	false	3.293792	1.700726205999672	115.560448
jbmc-regression/NullPointerException3.yml	false	false	3.31555	1.7003121190000456	118.108160
jbmc-regression/NullPointerException4.yml	false	false	3.317459	1.6906177959999695	115.003392
jbmc-regression/RegexMatches01.yml	true	true	3.41914	1.7493427950003024	116.752384
jbmc-regression/RegexMatches02.yml	false	true	3.426708	1.757426273999954	117.145600
jbmc-regression/RegexSubstitution01.yml	true	true	3.538624	1.826218899000196	119.091200
jbmc-regression/RegexSubstitution02.yml	false	unknown	3.643936	1.8150916450003933	117.608448
jbmc-regression/RegexSubstitution03.yml	true	true	3.680664	1.8071772229995986	119.119872
jbmc-regression/StaticCharMethods01.yml	true	true	3.41247	1.7039026410002407	114.954240
jbmc-regression/StaticCharMethods02.yml	false	false	3.840822	1.8976377939998201	172.793856
jbmc-regression/StaticCharMethods03.yml	false	false	3.923362	1.9627225450003607	173.506560
jbmc-regression/StaticCharMethods04.yml	false	false	3.02906	1.6135938460001853	118.685696
jbmc-regression/StaticCharMethods05.yml	false	unknown	2.74579	1.3660567780007113	119.111680
jbmc-regression/StaticCharMethods06.yml	true	true	2.479573	1.3186841739998272	174.227456
jbmc-regression/StringBuilderAppend01.yml	true	true	2.663542	1.2739735400000427	121.094144
jbmc-regression/StringBuilderAppend02.yml	false	unknown	3.649326	1.837636147000012	118.460416
jbmc-regression/StringBuilderCapLen01.yml	true	true	3.550661	1.840485771999738	118.915072
jbmc-regression/StringBuilderCapLen02.yml	false	false	3.560414	1.818273312999736	121.278464
jbmc-regression/StringBuilderCapLen03.yml	false	unknown	3.470183	1.786802335000175	116.854784
jbmc-regression/StringBuilderCapLen04.yml	false	unknown	3.363973	1.7046716490003746	118.251520
jbmc-regression/StringBuilderChars01.yml	true	true	3.440999	1.7368409560003784	118.579200
jbmc-regression/StringBuilderChars02.yml	false	false	3.510782	1.7450252090002323	120.123392
jbmc-regression/StringBuilderChars03.yml	false	unknown	3.339112	1.7189422430001287	116.944896
jbmc-regression/StringBuilderChars04.yml	false	unknown	3.569838	1.7916055929999857	119.099392
jbmc-regression/StringBuilderChars05.yml	false	unknown	3.532044	1.8026233820000925	116.645888
jbmc-regression/StringBuilderChars06.yml	false	unknown	3.543624	1.7971855109999524	117.792768
jbmc-regression/StringBuilderConstructors01.yml	true	unknown	3.680509	1.8815297670007567	173.154304
jbmc-regression/StringBuilderConstructors02.yml	false	unknown	3.30972	1.661946674000319	118.738944
jbmc-regression/StringBuilderInsertDelete01.yml	true	true	3.678075	1.8490634449999561	119.545856
jbmc-regression/StringBuilderInsertDelete02.yml	false	unknown	3.637023	1.8626697999998214	116.785152
jbmc-regression/StringBuilderInsertDelete03.yml	false	unknown	3.617891	1.8486457019998852	118.689792
jbmc-regression/StringCompare01.yml	true	true	3.358529	1.7440486089999467	116.305920
jbmc-regression/StringCompare02.yml	false	unknown	3.375851	1.7158756959997845	117.624832
jbmc-regression/StringCompare03.yml	false	unknown	3.372999	1.7274214070002927	116.240384
jbmc-regression/StringCompare04.yml	false	unknown	3.494795	1.773542704000647	115.879936
jbmc-regression/StringCompare05.yml	false	false	3.211031	1.6862551929998517	119.439360
jbmc-regression/StringConcatenation01.yml	true	false	3.649266	1.8405709959997694	122.519552
jbmc-regression/StringConcatenation02.yml	false	false	3.437916	1.7662378659997557	120.188928
jbmc-regression/StringConcatenation03.yml	false	false	3.480894	1.7581219869998677	119.799808
jbmc-regression/StringConcatenation04.yml	false	false	3.439588	1.7914765209998222	118.931456
jbmc-regression/StringConstructors01.yml	true	true	3.424089	1.744670398999915	117.043200
jbmc-regression/StringConstructors02.yml	false	false	3.486604	1.7738384569993286	120.434688
jbmc-regression/StringConstructors03.yml	false	false	3.349907	1.7172974179993616	118.489088
jbmc-regression/StringConstructors04.yml	false	false	3.570146	1.791329585999847	123.789312
jbmc-regression/StringConstructors05.yml	false	false	3.641658	1.8120547429998624	124.526592
jbmc-regression/StringContains01.yml	false	false	3.542686	1.7823923249998188	120.950784
jbmc-regression/StringContains02.yml	false	false	3.550664	1.7575587920000544	121.667584
jbmc-regression/StringIndexMethods01.yml	true	true	3.481121	1.7459402489994318	116.146176
jbmc-regression/StringIndexMethods02.yml	false	false	3.900988	1.9443818019999526	174.268416
jbmc-regression/StringIndexMethods03.yml	false	false	3.951323	1.9670651300002646	173.924352
jbmc-regression/StringIndexMethods04.yml	false	false	3.830541	1.9347972759996992	174.235648
jbmc-regression/StringIndexMethods05.yml	false	false	3.845614	1.9214669259999937	174.338048
jbmc-regression/StringMiscellaneous01.yml	true	true	3.49391	1.7198514120000254	118.173696
jbmc-regression/StringMiscellaneous02.yml	false	false	3.900046	1.946576338000341	173.981696
jbmc-regression/StringMiscellaneous03.yml	false	false	3.970146	1.9442940939998152	183.242752
jbmc-regression/StringMiscellaneous04.yml	true	true	3.443609	1.7275122910004939	116.326400
