   BENCHMARK INFORMATION
SPF
benchmark definition:    ../../benchmark-defs/spf.xml
name:                    spf
run sets:                SV-COMP25_assert_java.ReachSafety-Java, SV-COMP25_runtime-exception.RuntimeException-Java
date:                    Sat, 2025-05-31 15:40:07 IST
tool:                    SPF Wednesday 27 November 2019 02:15:09 AM IST
tool executable:         ./jpf-sv-comp
options:
parallel runs:           3
resource limits:
- memory:                3000.0 MB
- time:                  900 s
- cpu cores:             3
hardware requirements:
- cpu model:             Intel Xeon E3-1230 v5 @ 3.40 GHz
- cpu cores:             3
- memory:                3000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    rcbook
os:                      Linux-6.14.6-300.fc42.x86_64-x86_64-with-glibc2.41
cpu:                     AMD Ryzen 5 5600H with Radeon Graphics
- cores:                 12
- max frequency:         4280.0 MHz
- turbo boost enabled:   True
ram:                     16127.115264 MB
------------------------------------------------------------



SV-COMP25_assert_java.ReachSafety-Java
Run set 1 of 2 with options '' and propertyfile 'None'

inputfile                                                                               status                       cpu time   wall time        host
-----------------------------------------------------------------------------------------------------------------------------------------------------
jayhorn-recursive/Ackermann01.yml                                                       false                            2.14        1.23        None
jayhorn-recursive/Addition.yml                                                          true                           368.56      358.73        None
jayhorn-recursive/InfiniteLoop.yml                                                      false                            1.58        0.92        None
jayhorn-recursive/SatAckermann01.yml                                                    TIMEOUT                        900.61      870.76        None
jayhorn-recursive/SatAckermann02.yml                                                    TIMEOUT                        900.65      870.17        None
jayhorn-recursive/SatAckermann03.yml                                                    TIMEOUT                        900.56      873.14        None
jayhorn-recursive/SatAddition01.yml                                                     OUT OF MEMORY                  140.64      137.58        None
jayhorn-recursive/SatEvenOdd01.yml                                                      unknown                          4.17        5.84        None
jayhorn-recursive/SatFibonacci01.yml                                                    unknown                          4.11        5.81        None
jayhorn-recursive/SatFibonacci02.yml                                                    true                             1.42        0.83        None
jayhorn-recursive/SatFibonacci03.yml                                                    TIMEOUT                        900.98      846.95        None
jayhorn-recursive/SatGcd.yml                                                            OUT OF MEMORY                  131.39      128.79        None
jayhorn-recursive/SatHanoi01.yml                                                        TIMEOUT                        901.07      847.37        None
jayhorn-recursive/SatMccarthy91.yml                                                     TIMEOUT                        900.38      874.26        None
jayhorn-recursive/SatMultCommutative01.yml                                              TIMEOUT                        900.27      892.40        None
jayhorn-recursive/SatPrimes01.yml                                                       TIMEOUT                        900.02      898.23        None
jayhorn-recursive/UnsatAckermann01.yml                                                  false                            1.78        1.04        None
jayhorn-recursive/UnsatAddition01.yml                                                   false                            1.72        1.00        None
jayhorn-recursive/UnsatAddition02.yml                                                   true                           366.51      338.30        None
jayhorn-recursive/UnsatEvenOdd01.yml                                                    unknown                          4.10        5.79        None
jayhorn-recursive/UnsatFibonacci01.yml                                                  false                            1.92        1.12        None
jayhorn-recursive/UnsatFibonacci02.yml                                                  false                            2.89        1.65        None
