   BENCHMARK INFORMATION
SPF
benchmark definition:    ../../benchmark-defs/spf.xml
name:                    spf
run sets:                SV-COMP25_assert_java.ReachSafety-Java, SV-COMP25_runtime-exception.RuntimeException-Java
date:                    Fri, 2025-05-30 13:17:57 IST
tool:                    SPF Friday 30 May 2025 12:54:30 PM IST
tool executable:         ./jpf-sv-comp
options:
resource limits:
- memory:                15000.0 MB
- time:                  900 s
- cpu cores:             4
hardware requirements:
- cpu model:             Intel Xeon E3-1230 v5 @ 3.40 GHz
- cpu cores:             4
- memory:                15000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    rcbook
os:                      Linux-6.14.6-300.fc42.x86_64-x86_64-with-glibc2.41
cpu:                     AMD Ryzen 5 5600H with Radeon Graphics
- cores:                 12
- max frequency:         3301.0 MHz
- turbo boost enabled:   True
ram:                     16127.115264 MB
------------------------------------------------------------



SV-COMP25_assert_java.ReachSafety-Java
Run set 1 of 2 with options '' and propertyfile 'None'

inputfile                                                                               status                       cpu time   wall time        host
-----------------------------------------------------------------------------------------------------------------------------------------------------
jayhorn-recursive/Ackermann01.yml                                                       false                            2.45        1.23        None
jayhorn-recursive/Addition.yml                                                          true                             2.57        1.27        None
jayhorn-recursive/InfiniteLoop.yml                                                      false                            2.25        1.14        None
jayhorn-recursive/SatAckermann01.yml                                                    true                            17.81       12.21        None
jayhorn-recursive/SatAckermann02.yml                                                    true                            16.30       11.49        None
jayhorn-recursive/SatAckermann03.yml                                                    true                            16.28       11.56        None
jayhorn-recursive/SatAddition01.yml                                                     true                             2.54        1.23        None
jayhorn-recursive/SatEvenOdd01.yml                                                      true                             2.55        1.26        None
jayhorn-recursive/SatFibonacci01.yml                                                    true                             3.30        1.54        None
jayhorn-recursive/SatFibonacci02.yml                                                    true                             2.11        1.05        None
jayhorn-recursive/SatFibonacci03.yml                                                    true                             3.70        1.75        None
jayhorn-recursive/SatGcd.yml                                                            TIMEOUT                        900.97      907.13        None
jayhorn-recursive/SatHanoi01.yml                                                        true                             8.93        4.82        None
jayhorn-recursive/SatMccarthy91.yml                                                     true                            50.21       45.26        None
jayhorn-recursive/SatMultCommutative01.yml                                              true                             2.81        1.39        None
jayhorn-recursive/SatPrimes01.yml                                                       unknown                        323.65      238.72        None
jayhorn-recursive/UnsatAckermann01.yml                                                  false                            2.42        1.24        None
jayhorn-recursive/UnsatAddition01.yml                                                   false                            2.36        1.18        None
jayhorn-recursive/UnsatAddition02.yml                                                   true                             2.73        1.33        None
jayhorn-recursive/UnsatEvenOdd01.yml                                                    false                            2.28        1.14        None
jayhorn-recursive/UnsatFibonacci01.yml                                                  false                            2.49        1.23        None
jayhorn-recursive/UnsatFibonacci02.yml                                                  false                            2.97        1.39        None
jayhorn-recursive/UnsatMccarthy91.yml                                                   false                            2.33        1.18        None
jbmc-regression/ArithmeticException1.yml                                                false                            2.35        1.19        None
jbmc-regression/ArithmeticException5.yml                                                true                             2.12        1.07        None
jbmc-regression/ArithmeticException6.yml                                                false                            2.28        1.15        None
jbmc-regression/ArrayIndexOutOfBoundsException1.yml                                     false                            2.38        1.18        None
jbmc-regression/ArrayIndexOutOfBoundsException2.yml                                     false                            2.38        1.24        None
jbmc-regression/ArrayIndexOutOfBoundsException3.yml                                     false                            2.29        1.15        None
jbmc-regression/BufferedReaderReadLine.yml                                              false                            2.39        1.19        None
jbmc-regression/CharSequenceBug.yml                                                     false                            2.27        1.15        None
jbmc-regression/CharSequenceToString.yml                                                false                            2.32        1.20        None
jbmc-regression/ClassCastException1.yml                                                 false                            2.11        1.06        None
jbmc-regression/ClassCastException2.yml                                                 true                             2.15        1.07        None
jbmc-regression/ClassCastException3.yml                                                 false                            2.14        1.06        None
jbmc-regression/Class_method1.yml                                                       true                             2.05        1.03        None
jbmc-regression/Inheritance1.yml                                                        true                             2.13        1.07        None
jbmc-regression/NegativeArraySizeException1.yml                                         false                            2.14        1.08        None
jbmc-regression/NegativeArraySizeException2.yml                                         false                            2.12        1.06        None
jbmc-regression/NullPointerException1.yml                                               true                             2.19        1.09        None
jbmc-regression/NullPointerException2.yml                                               false                            2.15        1.06        None
jbmc-regression/NullPointerException3.yml                                               false                            2.12        1.06        None
jbmc-regression/NullPointerException4.yml                                               false                            2.08        1.07        None
jbmc-regression/RegexMatches01.yml                                                      true                             2.15        1.08        None
jbmc-regression/RegexMatches02.yml                                                      true                             2.20        1.09        None
jbmc-regression/RegexSubstitution01.yml                                                 true                             2.29        1.14        None
jbmc-regression/RegexSubstitution02.yml                                                 unknown                          2.24        1.12        None
jbmc-regression/RegexSubstitution03.yml                                                 true                             2.28        1.10        None
jbmc-regression/StaticCharMethods01.yml                                                 true                             2.13        1.07        None
jbmc-regression/StaticCharMethods02.yml                                                 false                            2.38        1.22        None
jbmc-regression/StaticCharMethods03.yml                                                 false                            2.28        1.14        None
jbmc-regression/StaticCharMethods04.yml                                                 false                            2.18        1.10        None
jbmc-regression/StaticCharMethods05.yml                                                 unknown                          2.27        1.12        None
jbmc-regression/StaticCharMethods06.yml                                                 true                             2.29        1.15        None
jbmc-regression/StringBuilderAppend01.yml                                               true                             2.29        1.11        None
jbmc-regression/StringBuilderAppend02.yml                                               unknown                          2.33        1.14        None
jbmc-regression/StringBuilderCapLen01.yml                                               true                             2.15        1.09        None
jbmc-regression/StringBuilderCapLen02.yml                                               false                            2.22        1.13        None
jbmc-regression/StringBuilderCapLen03.yml                                               unknown                          2.13        1.07        None
jbmc-regression/StringBuilderCapLen04.yml                                               unknown                          2.19        1.11        None
jbmc-regression/StringBuilderChars01.yml                                                true                             2.21        1.11        None
jbmc-regression/StringBuilderChars02.yml                                                false                            2.23        1.09        None
jbmc-regression/StringBuilderChars03.yml                                                unknown                          2.16        1.09        None
jbmc-regression/StringBuilderChars04.yml                                                unknown                          2.21        1.12        None
jbmc-regression/StringBuilderChars05.yml                                                unknown                          2.18        1.11        None
jbmc-regression/StringBuilderChars06.yml                                                unknown                          2.37        1.18        None
jbmc-regression/StringBuilderConstructors01.yml                                         unknown                          2.34        1.20        None
jbmc-regression/StringBuilderConstructors02.yml                                         unknown                          2.29        1.18        None
jbmc-regression/StringBuilderInsertDelete01.yml                                         true                             3.66        1.76        None
jbmc-regression/StringBuilderInsertDelete02.yml                                         unknown                          3.55        1.83        None
jbmc-regression/StringBuilderInsertDelete03.yml                                         unknown                          3.60        1.81        None
jbmc-regression/StringCompare01.yml                                                     true                             3.53        1.78        None
jbmc-regression/StringCompare02.yml                                                     unknown                          3.44        1.80        None
jbmc-regression/StringCompare03.yml                                                     unknown                          3.31        1.73        None
jbmc-regression/StringCompare04.yml                                                     unknown                          3.35        1.72        None
jbmc-regression/StringCompare05.yml                                                     false                            3.35        1.73        None
jbmc-regression/StringConcatenation01.yml                                               false                            3.45        1.77        None
jbmc-regression/StringConcatenation02.yml                                               false                            3.55        1.82        None
jbmc-regression/StringConcatenation03.yml                                               false                            3.61        1.85        None
jbmc-regression/StringConcatenation04.yml                                               false                            3.39        1.76        None
jbmc-regression/StringConstructors01.yml                                                true                             3.48        1.80        None
jbmc-regression/StringConstructors02.yml                                                false                            3.55        1.84        None
