   BENCHMARK INFORMATION
SPF
benchmark definition:    ../../benchmark-defs/spf.xml
name:                    spf
run sets:                SV-COMP25_assert_java.ReachSafety-Java, SV-COMP25_runtime-exception.RuntimeException-Java
date:                    Sun, 2025-06-15 18:34:06 IST
tool:                    SPF Sun Jun 15 01:06:53 PM IST 2025
tool executable:         ./jpf-sv-comp
options:
parallel runs:           3
resource limits:
- memory:                3000.0 MB
- time:                  900 s
- cpu cores:             3
hardware requirements:
- cpu model:             Intel Xeon E3-1230 v5 @ 3.40 GHz
- cpu cores:             3
- memory:                3000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    rcbook
os:                      Linux-6.14.9-300.fc42.x86_64-x86_64-with-glibc2.41
cpu:                     AMD Ryzen 5 5600H with Radeon Graphics
- cores:                 12
- max frequency:         4280.0 MHz
- turbo boost enabled:   True
ram:                     16127.094784 MB
------------------------------------------------------------



SV-COMP25_assert_java.ReachSafety-Java
Run set 1 of 2 with options '' and propertyfile 'None'

inputfile                                                                               status                       cpu time   wall time        host
-----------------------------------------------------------------------------------------------------------------------------------------------------
jayhorn-recursive/Ackermann01.yml                                                       false                            1.66        0.93        None
jayhorn-recursive/Addition.yml                                                          true                             1.84        0.97        None
jayhorn-recursive/InfiniteLoop.yml                                                      false                            1.78        0.94        None
jayhorn-recursive/SatAckermann01.yml                                                    true                            12.19        7.60        None
jayhorn-recursive/SatAckermann02.yml                                                    true                            12.08        7.52        None
jayhorn-recursive/SatAckermann03.yml                                                    true                            11.97        7.41        None
jayhorn-recursive/SatAddition01.yml                                                     true                             1.85        1.01        None
jayhorn-recursive/SatEvenOdd01.yml                                                      unknown                          1.72        0.93        None
jayhorn-recursive/SatFibonacci01.yml                                                    true                             2.66        1.26        None
jayhorn-recursive/SatFibonacci02.yml                                                    true                             1.50        0.75        None
jayhorn-recursive/SatFibonacci03.yml                                                    true                             3.10        1.45        None
jayhorn-recursive/SatGcd.yml                                                            true                           318.35      319.38        None
jayhorn-recursive/SatHanoi01.yml                                                        true                             7.02        3.74        None
jayhorn-recursive/SatMccarthy91.yml                                                     true                             8.05        4.82        None
jayhorn-recursive/SatMultCommutative01.yml                                              true                             1.94        0.96        None
jayhorn-recursive/SatPrimes01.yml                                                       TIMEOUT                        900.67      865.25        None
jayhorn-recursive/UnsatAckermann01.yml                                                  false                            1.64        0.85        None
jayhorn-recursive/UnsatAddition01.yml                                                   false                            1.72        0.88        None
jayhorn-recursive/UnsatAddition02.yml                                                   true                             1.97        0.94        None
jayhorn-recursive/UnsatEvenOdd01.yml                                                    unknown                          1.64        0.83        None
jayhorn-recursive/UnsatFibonacci01.yml                                                  false                            1.80        0.90        None
jayhorn-recursive/UnsatFibonacci02.yml                                                  false                            2.38        1.12        None
jayhorn-recursive/UnsatMccarthy91.yml                                                   false                            1.77        0.91        None
jbmc-regression/ArithmeticException1.yml                                                false                            1.67        0.85        None
