   BENCHMARK INFORMATION
SPF
benchmark definition:    ../../benchmark-defs/spf.xml
name:                    spf
run sets:                SV-COMP25_assert_java.ReachSafety-Java, SV-COMP25_runtime-exception.RuntimeException-Java
date:                    Sat, 2025-06-14 17:27:08 IST
tool:                    SPF Sat Jun 14 05:25:27 PM IST 2025
tool executable:         ./jpf-sv-comp
options:
parallel runs:           3
resource limits:
- memory:                3000.0 MB
- time:                  900 s
- cpu cores:             3
hardware requirements:
- cpu model:             Intel Xeon E3-1230 v5 @ 3.40 GHz
- cpu cores:             3
- memory:                3000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    rcbook
os:                      Linux-6.14.9-300.fc42.x86_64-x86_64-with-glibc2.41
cpu:                     AMD Ryzen 5 5600H with Radeon Graphics
- cores:                 12
- max frequency:         4280.0 MHz
- turbo boost enabled:   True
ram:                     16127.094784 MB
------------------------------------------------------------



SV-COMP25_assert_java.ReachSafety-Java
Run set 1 of 2 with options '' and propertyfile 'None'

inputfile                                                                               status                       cpu time   wall time        host
-----------------------------------------------------------------------------------------------------------------------------------------------------
jayhorn-recursive/Ackermann01.yml                                                       false                            3.02        1.51        None
jayhorn-recursive/Addition.yml                                                          true                             3.09        1.57        None
jayhorn-recursive/InfiniteLoop.yml                                                      false                            2.83        1.42        None
jayhorn-recursive/SatAckermann01.yml                                                    true                            16.62       11.90        None
jayhorn-recursive/SatAckermann02.yml                                                    true                            16.68       11.85        None
jayhorn-recursive/SatAckermann03.yml                                                    true                            16.40       11.82        None
jayhorn-recursive/SatAddition01.yml                                                     true                             2.12        1.09        None
jayhorn-recursive/SatEvenOdd01.yml                                                      true                             1.95        0.99        None
jayhorn-recursive/SatFibonacci01.yml                                                    true                             2.73        1.30        None
jayhorn-recursive/SatFibonacci02.yml                                                    true                             1.75        0.89        None
jayhorn-recursive/SatFibonacci03.yml                                                    true                             3.17        1.54        None
jayhorn-recursive/SatGcd.yml                                                            TIMEOUT                        900.85      905.86        None
jayhorn-recursive/SatHanoi01.yml                                                        true                             8.46        4.75        None
jayhorn-recursive/SatMccarthy91.yml                                                     true                            53.31       49.24        None
jayhorn-recursive/SatMultCommutative01.yml                                              true                             2.44        1.26        None
jayhorn-recursive/SatPrimes01.yml                                                       unknown                        323.84      260.72        None
jayhorn-recursive/UnsatAckermann01.yml                                                  false                            2.08        1.05        None
jayhorn-recursive/UnsatAddition01.yml                                                   false                            1.93        0.99        None
jayhorn-recursive/UnsatAddition02.yml                                                   true                             2.38        1.19        None
jayhorn-recursive/UnsatEvenOdd01.yml                                                    false                            1.92        0.96        None
jayhorn-recursive/UnsatFibonacci01.yml                                                  false                            2.02        1.00        None
jayhorn-recursive/UnsatFibonacci02.yml                                                  false                            2.56        1.23        None
jayhorn-recursive/UnsatMccarthy91.yml                                                   false                            2.00        0.99        None
jbmc-regression/ArithmeticException1.yml                                                false                            1.94        0.96        None
jbmc-regression/ArithmeticException5.yml                                                true                             1.82        0.90        None
jbmc-regression/ArithmeticException6.yml                                                false                            2.01        1.01        None
jbmc-regression/ArrayIndexOutOfBoundsException1.yml                                     false                            1.93        0.96        None
jbmc-regression/ArrayIndexOutOfBoundsException2.yml                                     false                            1.97        1.01        None
jbmc-regression/ArrayIndexOutOfBoundsException3.yml                                     false                            2.13        1.05        None
jbmc-regression/BufferedReaderReadLine.yml                                              false                            2.00        0.99        None
jbmc-regression/CharSequenceBug.yml                                                     false                            1.98        1.00        None
jbmc-regression/CharSequenceToString.yml                                                false                            1.98        0.99        None
jbmc-regression/ClassCastException1.yml                                                 false                            1.89        0.93        None
jbmc-regression/ClassCastException2.yml                                                 true                             1.84        0.91        None
jbmc-regression/ClassCastException3.yml                                                 false                            1.83        0.90        None
jbmc-regression/Class_method1.yml                                                       true                             1.82        0.92        None
jbmc-regression/Inheritance1.yml                                                        true                             2.03        1.02        None
jbmc-regression/NegativeArraySizeException1.yml                                         false                            1.90        0.96        None
jbmc-regression/NegativeArraySizeException2.yml                                         false                            1.81        0.89        None
jbmc-regression/NullPointerException1.yml                                               true                             1.90        0.94        None
jbmc-regression/NullPointerException2.yml                                               false                            1.89        0.94        None
jbmc-regression/NullPointerException3.yml                                               false                            1.93        0.96        None
jbmc-regression/NullPointerException4.yml                                               false                            1.89        0.94        None
jbmc-regression/RegexMatches01.yml                                                      true                             1.99        1.00        None
jbmc-regression/RegexMatches02.yml                                                      true                             1.93        0.95        None
jbmc-regression/RegexSubstitution01.yml                                                 true                             2.00        0.98        None
jbmc-regression/RegexSubstitution02.yml                                                 unknown                          1.96        0.96        None
jbmc-regression/RegexSubstitution03.yml                                                 true                             2.01        0.98        None
jbmc-regression/StaticCharMethods01.yml                                                 true                             1.95        0.96        None
jbmc-regression/StaticCharMethods02.yml                                                 false                            2.15        1.11        None
jbmc-regression/StaticCharMethods03.yml                                                 false                            2.17        1.11        None
jbmc-regression/StaticCharMethods04.yml                                                 false                            2.00        0.98        None
jbmc-regression/StaticCharMethods05.yml                                                 unknown                          1.92        0.94        None
jbmc-regression/StaticCharMethods06.yml                                                 true                             1.95        0.99        None
jbmc-regression/StringBuilderAppend01.yml                                               true                             2.15        1.03        None
jbmc-regression/StringBuilderAppend02.yml                                               unknown                          2.02        0.99        None
jbmc-regression/StringBuilderCapLen01.yml                                               true                             2.04        1.01        None
jbmc-regression/StringBuilderCapLen02.yml                                               false                            1.95        0.96        None
jbmc-regression/StringBuilderCapLen03.yml                                               unknown                          1.88        0.92        None
jbmc-regression/StringBuilderCapLen04.yml                                               unknown                          1.95        0.96        None
jbmc-regression/StringBuilderChars01.yml                                                true                             1.88        0.92        None
jbmc-regression/StringBuilderChars02.yml                                                false                            2.00        1.00        None
jbmc-regression/StringBuilderChars03.yml                                                unknown                          1.99        1.00        None
jbmc-regression/StringBuilderChars04.yml                                                unknown                          1.89        0.93        None
jbmc-regression/StringBuilderChars05.yml                                                unknown                          1.99        1.00        None
jbmc-regression/StringBuilderChars06.yml                                                unknown                          2.03        0.98        None
jbmc-regression/StringBuilderConstructors01.yml                                         unknown                          1.99        1.00        None
jbmc-regression/StringBuilderConstructors02.yml                                         unknown                          2.01        1.01        None
jbmc-regression/StringBuilderInsertDelete01.yml                                         true                             2.20        1.05        None
jbmc-regression/StringBuilderInsertDelete02.yml                                         unknown                          2.08        1.00        None
jbmc-regression/StringBuilderInsertDelete03.yml                                         unknown                          1.97        0.97        None
jbmc-regression/StringCompare01.yml                                                     true                             2.11        1.07        None
jbmc-regression/StringCompare02.yml                                                     unknown                          1.91        0.95        None
jbmc-regression/StringCompare03.yml                                                     unknown                          2.06        1.05        None
jbmc-regression/StringCompare04.yml                                                     unknown                          1.93        0.98        None
jbmc-regression/StringCompare05.yml                                                     false                            2.02        1.01        None
jbmc-regression/StringConcatenation01.yml                                               false                            2.05        1.00        None
jbmc-regression/StringConcatenation02.yml                                               false                            1.93        0.95        None
jbmc-regression/StringConcatenation03.yml                                               false                            2.05        1.02        None
jbmc-regression/StringConcatenation04.yml                                               false                            2.03        1.00        None
jbmc-regression/StringConstructors01.yml                                                true                             1.94        0.98        None
jbmc-regression/StringConstructors02.yml                                                false                            2.12        1.05        None
jbmc-regression/StringConstructors03.yml                                                false                            2.18        1.11        None
jbmc-regression/StringConstructors04.yml                                                false                            2.03        1.01        None
jbmc-regression/StringConstructors05.yml                                                false                            2.02        1.00        None
jbmc-regression/StringContains01.yml                                                    false                            1.99        0.99        None
jbmc-regression/StringContains02.yml                                                    false                            1.92        0.95        None
jbmc-regression/StringIndexMethods01.yml                                                true                             2.04        1.00        None
jbmc-regression/StringIndexMethods02.yml                                                false                            2.02        1.02        None
jbmc-regression/StringIndexMethods03.yml                                                false                            1.98        1.01        None
jbmc-regression/StringIndexMethods04.yml                                                false                            2.03        1.02        None
jbmc-regression/StringIndexMethods05.yml                                                false                            2.29        1.11        None
