   BENCHMARK INFORMATION
SPF
benchmark definition:    ../../benchmark-defs/spf.xml
name:                    spf
run sets:                SV-COMP25_assert_java.ReachSafety-Java, SV-COMP25_runtime-exception.RuntimeException-Java
date:                    Sun, 2025-06-15 15:30:40 IST
tool:                    SPF Sun Jun 15 01:06:53 PM IST 2025
tool executable:         ./jpf-sv-comp
options:
parallel runs:           3
resource limits:
- memory:                3000.0 MB
- time:                  900 s
- cpu cores:             3
hardware requirements:
- cpu model:             Intel Xeon E3-1230 v5 @ 3.40 GHz
- cpu cores:             3
- memory:                3000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    rcbook
os:                      Linux-6.14.9-300.fc42.x86_64-x86_64-with-glibc2.41
cpu:                     AMD Ryzen 5 5600H with Radeon Graphics
- cores:                 12
- max frequency:         4280.0 MHz
- turbo boost enabled:   True
ram:                     16127.094784 MB
------------------------------------------------------------



SV-COMP25_assert_java.ReachSafety-Java
Run set 1 of 2 with options '' and propertyfile 'None'

inputfile                                                                               status                       cpu time   wall time        host
-----------------------------------------------------------------------------------------------------------------------------------------------------
jayhorn-recursive/Ackermann01.yml                                                       false                            1.78        0.94        None
jayhorn-recursive/Addition.yml                                                          false                            1.90        1.01        None
jayhorn-recursive/InfiniteLoop.yml                                                      false                            1.70        0.91        None
jayhorn-recursive/SatAckermann01.yml                                                    TIMEOUT                        900.63      856.55        None
jayhorn-recursive/SatAckermann02.yml                                                    TIMEOUT                        900.49      858.19        None
jayhorn-recursive/SatAckermann03.yml                                                    TIMEOUT                        900.51      856.04        None
jayhorn-recursive/SatAddition01.yml                                                     false                           32.11       30.95        None
jayhorn-recursive/SatEvenOdd01.yml                                                      unknown                          1.61        0.82        None
jayhorn-recursive/SatFibonacci01.yml                                                    false                            1.75        0.89        None
jayhorn-recursive/SatFibonacci02.yml                                                    true                             1.50        0.74        None
jayhorn-recursive/SatFibonacci03.yml                                                    true                             1.96        0.95        None
jayhorn-recursive/SatGcd.yml                                                            false                          347.74      346.28        None
jayhorn-recursive/SatHanoi01.yml                                                        unknown                        815.82      783.42        None
jayhorn-recursive/SatMccarthy91.yml                                                     false                            1.63        0.82        None
jayhorn-recursive/SatMultCommutative01.yml                                              false                            1.92        0.91        None
jayhorn-recursive/SatPrimes01.yml                                                       TIMEOUT                        900.92      901.83        None
jayhorn-recursive/UnsatAckermann01.yml                                                  TIMEOUT                        900.44      858.10        None
jayhorn-recursive/UnsatAddition01.yml                                                   false                           32.09       30.89        None
jayhorn-recursive/UnsatAddition02.yml                                                   true                             2.04        0.95        None
jayhorn-recursive/UnsatEvenOdd01.yml                                                    unknown                          1.62        0.83        None
jayhorn-recursive/UnsatFibonacci01.yml                                                  true                             2.02        0.95        None
jayhorn-recursive/UnsatFibonacci02.yml                                                  true                             2.00        0.94        None
jayhorn-recursive/UnsatMccarthy91.yml                                                   false                            1.64        0.82        None
jbmc-regression/ArithmeticException1.yml                                                false                            1.63        0.81        None
jbmc-regression/ArithmeticException5.yml                                                true                             1.47        0.71        None
jbmc-regression/ArithmeticException6.yml                                                false                            1.70        0.87        None
jbmc-regression/ArrayIndexOutOfBoundsException1.yml                                     unknown                          1.63        0.84        None
jbmc-regression/ArrayIndexOutOfBoundsException2.yml                                     unknown                          1.69        0.85        None
jbmc-regression/ArrayIndexOutOfBoundsException3.yml                                     unknown                          1.63        0.82        None
jbmc-regression/BufferedReaderReadLine.yml                                              false                            1.64        0.81        None
jbmc-regression/CharSequenceBug.yml                                                     false                            1.61        0.81        None
jbmc-regression/CharSequenceToString.yml                                                unknown                          1.63        0.79        None
jbmc-regression/ClassCastException1.yml                                                 false                            1.54        0.76        None
jbmc-regression/ClassCastException2.yml                                                 true                             1.45        0.72        None
jbmc-regression/ClassCastException3.yml                                                 false                            1.45        0.72        None
jbmc-regression/Class_method1.yml                                                       true                             1.55        0.78        None
jbmc-regression/Inheritance1.yml                                                        true                             1.51        0.75        None
