   BENCHMARK INFORMATION
SPF
benchmark definition:    ../../benchmark-defs/spf.xml
name:                    spf
run sets:                SV-COMP25_assert_java.ReachSafety-Java
date:                    Mon, 2025-06-30 10:38:13 IST
tool:                    SPF Mon Jun 30 10:36:53 AM IST 2025
tool executable:         ./jpf-sv-comp
options:
resource limits:
- memory:                15000.0 MB
- time:                  900 s
- cpu cores:             4
hardware requirements:
- cpu model:             Intel Xeon E3-1230 v5 @ 3.40 GHz
- cpu cores:             4
- memory:                15000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    rcbook
os:                      Linux-6.14.11-300.fc42.x86_64-x86_64-with-glibc2.41
cpu:                     AMD Ryzen 5 5600H with Radeon Graphics
- cores:                 12
- max frequency:         4280.0 MHz
- turbo boost enabled:   True
ram:                     16127.0784 MB
------------------------------------------------------------



SV-COMP25_assert_java.ReachSafety-Java
Run set 1 of 1 with options '' and propertyfile 'None'

inputfile                                                                               status                       cpu time   wall time        host
-----------------------------------------------------------------------------------------------------------------------------------------------------
jayhorn-recursive/Ackermann01.yml                                                       false                            2.06        1.13        None
jayhorn-recursive/Addition.yml                                                          true                             2.09        1.00        None
jayhorn-recursive/InfiniteLoop.yml                                                      false                            1.93        0.95        None
jayhorn-recursive/SatAckermann01.yml                                                    true                             9.75        5.90        None
jayhorn-recursive/SatAckermann02.yml                                                    true                            10.26        6.37        None
jayhorn-recursive/SatAckermann03.yml                                                    true                            11.33        6.81        None
jayhorn-recursive/SatAddition01.yml                                                     true                             2.38        1.15        None
jayhorn-recursive/SatEvenOdd01.yml                                                      true                             2.40        1.13        None
jayhorn-recursive/SatFibonacci01.yml                                                    true                             3.38        1.55        None
jayhorn-recursive/SatFibonacci02.yml                                                    true                             2.02        1.00        None
jayhorn-recursive/SatFibonacci03.yml                                                    true                             3.15        1.42        None
jayhorn-recursive/SatGcd.yml                                                            true                             2.93        1.36        None
jayhorn-recursive/SatHanoi01.yml                                                        true                             5.31        2.71        None
jayhorn-recursive/SatMccarthy91.yml                                                     true                             9.01        4.87        None
jayhorn-recursive/SatMultCommutative01.yml                                              true                             2.61        1.19        None
jayhorn-recursive/SatPrimes01.yml                                                       unknown                        371.58      293.18        None
jayhorn-recursive/UnsatAckermann01.yml                                                  false                            2.21        1.06        None
jayhorn-recursive/UnsatAddition01.yml                                                   false                            2.11        1.01        None
jayhorn-recursive/UnsatAddition02.yml                                                   true                             2.33        1.12        None
jayhorn-recursive/UnsatEvenOdd01.yml                                                    false                            2.20        1.07        None
jayhorn-recursive/UnsatFibonacci01.yml                                                  false                            2.48        1.24        None
jayhorn-recursive/UnsatFibonacci02.yml                                                  false                            2.57        1.26        None
jayhorn-recursive/UnsatMccarthy91.yml                                                   false                            2.22        1.06        None
jbmc-regression/ArithmeticException1.yml                                                false                            2.21        1.06        None
jbmc-regression/ArithmeticException5.yml                                                true                             1.85        0.90        None
jbmc-regression/ArithmeticException6.yml                                                false                            2.15        1.03        None
jbmc-regression/ArrayIndexOutOfBoundsException1.yml                                     false                            2.09        1.02        None
jbmc-regression/ArrayIndexOutOfBoundsException2.yml                                     false                            2.12        1.02        None
jbmc-regression/ArrayIndexOutOfBoundsException3.yml                                     false                            2.24        1.07        None
jbmc-regression/BufferedReaderReadLine.yml                                              false                            2.21        1.05        None
jbmc-regression/CharSequenceBug.yml                                                     false                            2.18        1.06        None
jbmc-regression/CharSequenceToString.yml                                                false                            2.19        1.05        None
jbmc-regression/ClassCastException1.yml                                                 false                            1.89        0.92        None
jbmc-regression/ClassCastException2.yml                                                 true                             1.87        0.90        None
jbmc-regression/ClassCastException3.yml                                                 false                            1.94        0.92        None
jbmc-regression/Class_method1.yml                                                       true                             1.89        0.90        None
jbmc-regression/Inheritance1.yml                                                        true                             1.97        0.93        None
jbmc-regression/NegativeArraySizeException1.yml                                         false                            1.98        0.94        None
jbmc-regression/NegativeArraySizeException2.yml                                         false                            1.89        0.92        None
jbmc-regression/NullPointerException1.yml                                               true                             1.91        0.92        None
jbmc-regression/NullPointerException2.yml                                               false                            1.93        0.92        None
jbmc-regression/NullPointerException3.yml                                               false                            1.86        0.89        None
jbmc-regression/NullPointerException4.yml                                               false                            1.94        0.92        None
jbmc-regression/RegexMatches01.yml                                                      true                             2.01        0.97        None
jbmc-regression/RegexMatches02.yml                                                      true                             2.14        0.97        None
jbmc-regression/RegexSubstitution01.yml                                                 true                             2.11        0.97        None
jbmc-regression/RegexSubstitution02.yml                                                 unknown                          2.08        0.96        None
jbmc-regression/RegexSubstitution03.yml                                                 true                             1.97        0.94        None
jbmc-regression/StaticCharMethods01.yml                                                 true                             1.96        0.93        None
jbmc-regression/StaticCharMethods02.yml                                                 false                            2.15        1.02        None
jbmc-regression/StaticCharMethods03.yml                                                 false                            2.10        1.02        None
jbmc-regression/StaticCharMethods04.yml                                                 false                            1.92        0.91        None
jbmc-regression/StaticCharMethods05.yml                                                 unknown                          2.08        0.98        None
jbmc-regression/StaticCharMethods06.yml                                                 true                             2.26        1.06        None
jbmc-regression/StringBuilderAppend01.yml                                               true                             2.09        0.97        None
jbmc-regression/StringBuilderAppend02.yml                                               unknown                          2.07        0.98        None
jbmc-regression/StringBuilderCapLen01.yml                                               true                             1.98        0.94        None
jbmc-regression/StringBuilderCapLen02.yml                                               false                            2.07        0.99        None
jbmc-regression/StringBuilderCapLen03.yml                                               unknown                          1.99        0.93        None
jbmc-regression/StringBuilderCapLen04.yml                                               unknown                          1.96        0.95        None
jbmc-regression/StringBuilderChars01.yml                                                true                             2.03        0.95        None
jbmc-regression/StringBuilderChars02.yml                                                false                            2.00        0.97        None
jbmc-regression/StringBuilderChars03.yml                                                unknown                          1.92        0.92        None
jbmc-regression/StringBuilderChars04.yml                                                unknown                          1.98        0.95        None
jbmc-regression/StringBuilderChars05.yml                                                unknown                          1.96        0.93        None
jbmc-regression/StringBuilderChars06.yml                                                unknown                          1.94        0.93        None
jbmc-regression/StringBuilderConstructors01.yml                                         unknown                          2.07        1.01        None
jbmc-regression/StringBuilderConstructors02.yml                                         unknown                          1.91        0.92        None
jbmc-regression/StringBuilderInsertDelete01.yml                                         true                             2.13        0.96        None
jbmc-regression/StringBuilderInsertDelete02.yml                                         unknown                          2.10        0.97        None
jbmc-regression/StringBuilderInsertDelete03.yml                                         unknown                          2.04        0.97        None
jbmc-regression/StringCompare01.yml                                                     true                             1.91        0.93        None
jbmc-regression/StringCompare02.yml                                                     unknown                          1.92        0.92        None
jbmc-regression/StringCompare03.yml                                                     unknown                          1.92        0.93        None
jbmc-regression/StringCompare04.yml                                                     unknown                          1.98        0.95        None
jbmc-regression/StringCompare05.yml                                                     false                            2.02        0.97        None
jbmc-regression/StringConcatenation01.yml                                               false                            2.00        0.98        None
jbmc-regression/StringConcatenation02.yml                                               false                            1.91        0.92        None
jbmc-regression/StringConcatenation03.yml                                               false                            1.93        0.94        None
jbmc-regression/StringConcatenation04.yml                                               false                            2.06        0.96        None
jbmc-regression/StringConstructors01.yml                                                true                             1.95        0.94        None
jbmc-regression/StringConstructors02.yml                                                false                            2.03        0.96        None
jbmc-regression/StringConstructors03.yml                                                false                            1.97        0.94        None
jbmc-regression/StringConstructors04.yml                                                false                            1.96        0.94        None
jbmc-regression/StringConstructors05.yml                                                false                            2.06        0.96        None
jbmc-regression/StringContains01.yml                                                    false                            1.96        0.94        None
jbmc-regression/StringContains02.yml                                                    false                            2.07        0.98        None
jbmc-regression/StringIndexMethods01.yml                                                true                             1.90        0.91        None
jbmc-regression/StringIndexMethods02.yml                                                false                            2.10        1.03        None
jbmc-regression/StringIndexMethods03.yml                                                false                            2.10        1.02        None
jbmc-regression/StringIndexMethods04.yml                                                false                            2.14        1.04        None
