   BENCHMARK INFORMATION
SPF
benchmark definition:    ../../benchmark-defs/spf.xml
name:                    spf
run sets:                SV-COMP25_assert_java.ReachSafety-Java
date:                    Sat, 2025-07-12 20:23:10 IST
tool:                    SPF Sat Jul 12 08:20:32 PM IST 2025
tool executable:         ./jpf-sv-comp
options:
resource limits:
- memory:                15000.0 MB
- time:                  900 s
- cpu cores:             4
hardware requirements:
- cpu model:             Intel Xeon E3-1230 v5 @ 3.40 GHz
- cpu cores:             4
- memory:                15000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    rcbook
os:                      Linux-6.15.4-200.fc42.x86_64-x86_64-with-glibc2.41
cpu:                     AMD Ryzen 5 5600H with Radeon Graphics
- cores:                 12
- max frequency:         4280.985 MHz
- turbo boost enabled:   True
ram:                     16126.992384 MB
------------------------------------------------------------



SV-COMP25_assert_java.ReachSafety-Java
Run set 1 of 1 with options '' and propertyfile 'None'

inputfile                                                                               status                       cpu time   wall time        host
-----------------------------------------------------------------------------------------------------------------------------------------------------
jayhorn-recursive/Ackermann01.yml                                                       false                            1.91        1.10        None
jayhorn-recursive/Addition.yml                                                          true                             2.12        1.06        None
jayhorn-recursive/InfiniteLoop.yml                                                      false                            1.79        0.90        None
jayhorn-recursive/SatAckermann01.yml                                                    true                            60.99       54.77        None
jayhorn-recursive/SatAckermann02.yml                                                    true                            58.76       52.69        None
jayhorn-recursive/SatAckermann03.yml                                                    true                            59.26       53.18        None
jayhorn-recursive/SatAddition01.yml                                                     true                             2.29        1.15        None
jayhorn-recursive/SatEvenOdd01.yml                                                      true                             2.31        1.14        None
jayhorn-recursive/SatFibonacci01.yml                                                    true                             4.90        2.88        None
jayhorn-recursive/SatFibonacci02.yml                                                    true                             1.72        0.85        None
jayhorn-recursive/SatFibonacci03.yml                                                    true                             6.55        4.33        None
jayhorn-recursive/SatGcd.yml                                                            true                             5.39        3.64        None
jayhorn-recursive/SatHanoi01.yml                                                        true                            20.42       16.56        None
jayhorn-recursive/SatMccarthy91.yml                                                     true                            32.12       27.59        None
jayhorn-recursive/SatMultCommutative01.yml                                              true                             3.07        1.55        None
jayhorn-recursive/SatPrimes01.yml                                                       unknown                        108.25      102.49        None
jayhorn-recursive/UnsatAckermann01.yml                                                  false                            2.07        1.00        None
jayhorn-recursive/UnsatAddition01.yml                                                   false                            2.01        0.98        None
jayhorn-recursive/UnsatAddition02.yml                                                   true                             2.75        1.40        None
jayhorn-recursive/UnsatEvenOdd01.yml                                                    false                            1.97        0.96        None
jayhorn-recursive/UnsatFibonacci01.yml                                                  false                            2.17        1.08        None
jayhorn-recursive/UnsatFibonacci02.yml                                                  false                            3.60        1.94        None
jayhorn-recursive/UnsatMccarthy91.yml                                                   false                            1.91        0.96        None
jbmc-regression/ArithmeticException1.yml                                                false                            1.97        0.98        None
jbmc-regression/ArithmeticException5.yml                                                true                             1.68        0.85        None
jbmc-regression/ArithmeticException6.yml                                                false                            1.95        0.97        None
jbmc-regression/ArrayIndexOutOfBoundsException1.yml                                     false                            1.92        0.95        None
jbmc-regression/ArrayIndexOutOfBoundsException2.yml                                     false                            1.89        0.94        None
jbmc-regression/ArrayIndexOutOfBoundsException3.yml                                     false                            1.91        0.95        None
jbmc-regression/BufferedReaderReadLine.yml                                              false                            2.03        0.98        None
jbmc-regression/CharSequenceBug.yml                                                     false                            1.99        1.00        None
jbmc-regression/CharSequenceToString.yml                                                false                            1.98        0.99        None
jbmc-regression/ClassCastException1.yml                                                 false                            1.73        0.85        None
jbmc-regression/ClassCastException2.yml                                                 true                             1.70        0.83        None
jbmc-regression/ClassCastException3.yml                                                 false                            1.74        0.85        None
jbmc-regression/Class_method1.yml                                                       true                             1.68        0.85        None
jbmc-regression/Inheritance1.yml                                                        true                             1.71        0.83        None
jbmc-regression/NegativeArraySizeException1.yml                                         false                            1.68        0.82        None
jbmc-regression/NegativeArraySizeException2.yml                                         false                            1.74        0.85        None
jbmc-regression/NullPointerException1.yml                                               true                             1.72        0.85        None
jbmc-regression/NullPointerException2.yml                                               false                            1.71        0.83        None
jbmc-regression/NullPointerException3.yml                                               false                            1.74        0.85        None
jbmc-regression/NullPointerException4.yml                                               false                            1.77        0.88        None
jbmc-regression/RegexMatches01.yml                                                      true                             1.82        0.87        None
jbmc-regression/RegexMatches02.yml                                                      true                             1.75        0.87        None
jbmc-regression/RegexSubstitution01.yml                                                 true                             1.88        0.91        None
jbmc-regression/RegexSubstitution02.yml                                                 unknown                          1.83        0.90        None
jbmc-regression/RegexSubstitution03.yml                                                 true                             1.82        0.88        None
jbmc-regression/StaticCharMethods01.yml                                                 true                             1.76        0.87        None
jbmc-regression/StaticCharMethods02.yml                                                 false                            1.93        0.96        None
jbmc-regression/StaticCharMethods03.yml                                                 false                            1.98        1.00        None
jbmc-regression/StaticCharMethods04.yml                                                 false                            1.72        0.84        None
jbmc-regression/StaticCharMethods05.yml                                                 unknown                          1.81        0.88        None
jbmc-regression/StaticCharMethods06.yml                                                 true                             1.94        0.95        None
jbmc-regression/StringBuilderAppend01.yml                                               true                             1.87        0.88        None
jbmc-regression/StringBuilderAppend02.yml                                               unknown                          1.90        0.92        None
jbmc-regression/StringBuilderCapLen01.yml                                               true                             1.81        0.89        None
jbmc-regression/StringBuilderCapLen02.yml                                               false                            1.77        0.88        None
jbmc-regression/StringBuilderCapLen03.yml                                               unknown                          1.71        0.85        None
jbmc-regression/StringBuilderCapLen04.yml                                               unknown                          1.77        0.89        None
