tool		SPF Mon Jun 30 08:45:41 AM IST 2025	SPF Mon Jun 30 08:45:41 AM IST 2025	SPF Mon Jun 30 08:45:41 AM IST 2025	SPF Mon Jun 30 08:45:41 AM IST 2025	SPF Thu Jul 17 01:25:44 PM IST 2025	SPF Thu Jul 17 01:25:44 PM IST 2025	SPF Thu Jul 17 01:25:44 PM IST 2025	SPF Thu Jul 17 01:25:44 PM IST 2025
run set		SV-COMP25_assert_java.ReachSafety-Java	SV-COMP25_assert_java.ReachSafety-Java	SV-COMP25_assert_java.ReachSafety-Java	SV-COMP25_assert_java.ReachSafety-Java	SV-COMP25_assert_java.ReachSafety-Java	SV-COMP25_assert_java.ReachSafety-Java	SV-COMP25_assert_java.ReachSafety-Java	SV-COMP25_assert_java.ReachSafety-Java
../sv-benchmarks/java/		status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)
jayhorn-recursive/Ackermann01.yml	false	false	1.99428	0.9569375820001369	170.983424	false	2.127012	1.0355949940003484	175.673344
jayhorn-recursive/Addition.yml	true	true	2.033634	0.9766509520004547	174.608384	unknown	2.616604	1.1686531549985375	192.172032
jayhorn-recursive/InfiniteLoop.yml	false	false	1.937778	0.939605704999849	170.377216	false	1.957806	0.9563106789992162	161.685504
jayhorn-recursive/SatAckermann01.yml	true	true	10.852807	6.254946449000272	605.671424	unknown	2.231744	1.0399592880003183	175.325184
jayhorn-recursive/SatAckermann02.yml	true	true	10.706172	6.44602957799998	582.770688	unknown	2.183869	1.027134259000377	174.329856
jayhorn-recursive/SatAckermann03.yml	true	true	10.587576	6.286787709999771	587.587584	unknown	2.110371	1.0630787030004285	175.534080
jayhorn-recursive/SatAddition01.yml	true	true	2.576256	1.258398244000091	180.514816	unknown	2.122321	1.030142812000122	172.572672
jayhorn-recursive/SatEvenOdd01.yml	true	true	3.036863	1.5848130340000353	176.553984	unknown	2.186225	1.0359759719995054	174.362624
jayhorn-recursive/SatFibonacci01.yml	true	true	3.818756	1.704729808000593	219.537408	unknown	2.145318	1.010061245999168	175.927296
jayhorn-recursive/SatFibonacci02.yml	true	true	2.027765	0.9937490340007571	114.839552	true	1.88474	0.8926424530000077	114.843648
jayhorn-recursive/SatFibonacci03.yml	true	true	4.098461	1.7678730529996756	232.804352	unknown	2.118842	0.9998928259992681	174.215168
jayhorn-recursive/SatGcd.yml	true	true	3.445073	1.4867253350003011	217.894912	unknown	2.095189	0.9936838689991419	172.670976
jayhorn-recursive/SatHanoi01.yml	true	true	7.129782	3.594795162000082	516.808704	unknown	2.234352	1.0321720909996657	175.288320
jayhorn-recursive/SatMccarthy91.yml	true	true	8.806528	5.07203675799974	559.218688	unknown	2.204324	1.0437613249996502	176.922624
jayhorn-recursive/SatMultCommutative01.yml	true	true	2.585716	1.1825215310000203	188.674048	unknown	2.229757	1.0302660439992906	174.972928
jayhorn-recursive/SatPrimes01.yml	true	TIMEOUT	900.710899	837.0345001209998	1853.554688	unknown	2.302102	1.0529771510009596	175.157248
jayhorn-recursive/UnsatAckermann01.yml	false	false	2.151285	1.0568881939998391	171.925504	unknown	2.168124	1.0176572809996287	173.359104
jayhorn-recursive/UnsatAddition01.yml	false	false	2.136168	1.0361131350000505	171.978752	unknown	32.750118	31.03745722900021	404.897792
jayhorn-recursive/UnsatAddition02.yml	false	true	2.433555	1.0988595360004183	188.293120	unknown	2.201794	1.0527228110004216	175.927296
jayhorn-recursive/UnsatEvenOdd01.yml	false	false	2.101029	1.0052354579993334	171.167744	false	2.116134	1.0229801700006647	162.701312
jayhorn-recursive/UnsatFibonacci01.yml	false	false	2.267524	1.0526536740007941	174.796800	unknown	2.144075	1.0124608210007864	173.535232
jayhorn-recursive/UnsatFibonacci02.yml	false	false	2.93053	1.2348519950000991	216.137728	unknown	2.189057	1.0201487220001582	174.907392
jayhorn-recursive/UnsatMccarthy91.yml	false	false	2.13092	1.0269776300001467	172.695552	false	2.144182	1.0109869669995533	173.395968
jbmc-regression/ArithmeticException1.yml	false	false	2.097433	1.014069845999984	171.155456	false	2.061829	0.9845983890008938	173.031424
jbmc-regression/ArithmeticException5.yml	true	true	1.848233	0.893802570999469	114.442240	true	1.904033	0.8996681950011407	112.173056
jbmc-regression/ArithmeticException6.yml	false	false	2.099018	1.0077315720000115	169.766912	false	2.195331	1.0433181600001262	174.206976
jbmc-regression/ArrayIndexOutOfBoundsException1.yml	false	false	2.078191	1.019266848999905	171.499520	false	2.179148	1.0285348600009456	175.321088
jbmc-regression/ArrayIndexOutOfBoundsException2.yml	false	false	2.05514	0.9807121049998386	170.692608	false	2.172027	1.0148869979984738	174.755840
jbmc-regression/ArrayIndexOutOfBoundsException3.yml	false	false	2.18197	1.0548276409999744	172.257280	false	2.189602	1.0580087510006706	174.964736
jbmc-regression/BufferedReaderReadLine.yml	false	false	2.207965	1.0595586070003264	171.573248	false	2.229976	1.048963305000143	174.059520
jbmc-regression/CharSequenceBug.yml	false	false	2.037737	0.9999023880000095	170.123264	false	2.174134	1.0258147870008543	177.414144
jbmc-regression/CharSequenceToString.yml	true	false	2.108882	1.0389311650005766	175.177728	false	2.191692	1.0506988520010054	177.692672
jbmc-regression/ClassCastException1.yml	false	false	1.916318	0.9244608640001388	115.437568	false	1.89116	0.9143661929992959	115.941376
jbmc-regression/ClassCastException2.yml	true	true	1.925557	0.918939569000031	114.487296	true	1.917601	0.9162404680009786	113.319936
jbmc-regression/ClassCastException3.yml	false	false	1.872009	0.897930388999157	115.572736	false	1.906314	0.8985477759997593	116.035584
jbmc-regression/Class_method1.yml	true	true	1.836738	0.8898040250005579	114.114560	true	1.87092	0.8924951439985307	114.655232
jbmc-regression/Inheritance1.yml	true	true	1.882136	0.9007654710003408	114.438144	true	1.909282	0.9150874369988742	112.787456
jbmc-regression/NegativeArraySizeException1.yml	false	false	1.867271	0.9032889560003241	114.958336	false	1.879803	0.9117896289990313	115.175424
jbmc-regression/NegativeArraySizeException2.yml	false	false	1.865544	0.9054362229999242	114.757632	false	1.926372	0.9165879219999624	115.396608
jbmc-regression/NullPointerException1.yml	true	true	1.843207	0.8870787490004659	114.089984	true	1.874491	0.9082577109984413	115.998720
jbmc-regression/NullPointerException2.yml	false	false	1.863875	0.8936300650002522	114.384896	false	1.959625	0.9554150410003786	122.007552
jbmc-regression/NullPointerException3.yml	false	false	1.900996	0.9251692990001175	114.839552	false	1.97425	0.9478825220012368	122.646528
jbmc-regression/NullPointerException4.yml	false	false	1.946757	0.9341079529995113	114.827264	false	1.947318	0.9224493220008299	114.692096
jbmc-regression/RegexMatches01.yml	true	true	1.867197	0.9093693340000755	114.675712	true	1.927437	0.9147147349995066	114.753536
jbmc-regression/RegexMatches02.yml	false	true	1.915214	0.923293484000169	116.305920	true	2.00172	0.9397382030001609	116.965376
jbmc-regression/RegexSubstitution01.yml	true	true	2.031301	0.9518302690003111	116.817920	true	2.106811	0.9650944489985704	128.929792
jbmc-regression/RegexSubstitution02.yml	false	unknown	1.941084	0.9405326100004459	116.604928	unknown	1.981095	0.9205334960006439	116.760576
jbmc-regression/RegexSubstitution03.yml	true	true	1.906045	0.9346228629992765	116.674560	true	1.983528	0.9252756320001936	115.970048
