tool		SPF Mon Jun 30 08:45:41 AM IST 2025	SPF Mon Jun 30 08:45:41 AM IST 2025	SPF Mon Jun 30 08:45:41 AM IST 2025	SPF Mon Jun 30 08:45:41 AM IST 2025	SPF Mon Jun 30 10:36:53 AM IST 2025	SPF Mon Jun 30 10:36:53 AM IST 2025	SPF Mon Jun 30 10:36:53 AM IST 2025	SPF Mon Jun 30 10:36:53 AM IST 2025
run set		SV-COMP25_assert_java.ReachSafety-Java	SV-COMP25_assert_java.ReachSafety-Java	SV-COMP25_assert_java.ReachSafety-Java	SV-COMP25_assert_java.ReachSafety-Java	SV-COMP25_assert_java.ReachSafety-Java	SV-COMP25_assert_java.ReachSafety-Java	SV-COMP25_assert_java.ReachSafety-Java	SV-COMP25_assert_java.ReachSafety-Java
sv-benchmarks/java/		status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)
jayhorn-recursive/Ackermann01.yml	false	false	1.99428	0.9569375820001369	170.983424	false	2.057122	1.1328226099994936	175.607808
jayhorn-recursive/Addition.yml	true	true	2.033634	0.9766509520004547	174.608384	true	2.087006	1.0030424599999606	165.412864
jayhorn-recursive/InfiniteLoop.yml	false	false	1.937778	0.939605704999849	170.377216	false	1.930309	0.9495065609999074	165.642240
jayhorn-recursive/SatAckermann01.yml	true	true	10.852807	6.254946449000272	605.671424	true	9.749625	5.9049982910000836	434.888704
jayhorn-recursive/SatAckermann02.yml	true	true	10.706172	6.44602957799998	582.770688	true	10.257648	6.367429663000621	436.404224
jayhorn-recursive/SatAckermann03.yml	true	true	10.587576	6.286787709999771	587.587584	true	11.330377	6.80834261399923	432.664576
jayhorn-recursive/SatAddition01.yml	true	true	2.576256	1.258398244000091	180.514816	true	2.381164	1.151579841000057	172.609536
jayhorn-recursive/SatEvenOdd01.yml	true	true	3.036863	1.5848130340000353	176.553984	true	2.395747	1.1344237190005515	168.046592
jayhorn-recursive/SatFibonacci01.yml	true	true	3.818756	1.704729808000593	219.537408	true	3.376072	1.548207277000074	186.564608
jayhorn-recursive/SatFibonacci02.yml	true	true	2.027765	0.9937490340007571	114.839552	true	2.023172	1.0035585870000432	115.691520
jayhorn-recursive/SatFibonacci03.yml	true	true	4.098461	1.7678730529996756	232.804352	true	3.150901	1.4217933629997788	220.852224
jayhorn-recursive/SatGcd.yml	true	true	3.445073	1.4867253350003011	217.894912	true	2.931798	1.3552916890002962	190.025728
jayhorn-recursive/SatHanoi01.yml	true	true	7.129782	3.594795162000082	516.808704	true	5.31051	2.70574309299991	391.852032
jayhorn-recursive/SatMccarthy91.yml	true	true	8.806528	5.07203675799974	559.218688	true	9.006986	4.866194270999586	481.488896
jayhorn-recursive/SatMultCommutative01.yml	true	true	2.585716	1.1825215310000203	188.674048	true	2.612937	1.189237841999784	180.592640
jayhorn-recursive/SatPrimes01.yml	true	TIMEOUT	900.710899	837.0345001209998	1853.554688	unknown	371.577053	293.17738777699924	775.606272
jayhorn-recursive/UnsatAckermann01.yml	false	false	2.151285	1.0568881939998391	171.925504	false	2.207541	1.0551722350001	176.676864
jayhorn-recursive/UnsatAddition01.yml	false	false	2.136168	1.0361131350000505	171.978752	false	2.112278	1.009767520999958	172.482560
jayhorn-recursive/UnsatAddition02.yml	false	true	2.433555	1.0988595360004183	188.293120	true	2.330202	1.119277950000651	171.335680
jayhorn-recursive/UnsatEvenOdd01.yml	false	false	2.101029	1.0052354579993334	171.167744	false	2.202686	1.0689173789996858	173.666304
jayhorn-recursive/UnsatFibonacci01.yml	false	false	2.267524	1.0526536740007941	174.796800	false	2.479461	1.23782482399929	162.881536
jayhorn-recursive/UnsatFibonacci02.yml	false	false	2.93053	1.2348519950000991	216.137728	false	2.569722	1.2581516069994905	183.275520
jayhorn-recursive/UnsatMccarthy91.yml	false	false	2.13092	1.0269776300001467	172.695552	false	2.215018	1.0552602319994548	172.527616
jbmc-regression/ArithmeticException1.yml	false	false	2.097433	1.014069845999984	171.155456	false	2.21333	1.0574313919996712	173.281280
jbmc-regression/ArithmeticException5.yml	true	true	1.848233	0.893802570999469	114.442240	true	1.850479	0.901867635000599	115.531776
jbmc-regression/ArithmeticException6.yml	false	false	2.099018	1.0077315720000115	169.766912	false	2.154001	1.032597378999526	176.119808
jbmc-regression/ArrayIndexOutOfBoundsException1.yml	false	false	2.078191	1.019266848999905	171.499520	false	2.094511	1.0192337739999857	172.806144
jbmc-regression/ArrayIndexOutOfBoundsException2.yml	false	false	2.05514	0.9807121049998386	170.692608	false	2.115307	1.020258613999431	174.100480
jbmc-regression/ArrayIndexOutOfBoundsException3.yml	false	false	2.18197	1.0548276409999744	172.257280	false	2.236056	1.0670475070000975	175.333376
jbmc-regression/BufferedReaderReadLine.yml	false	false	2.207965	1.0595586070003264	171.573248	false	2.214635	1.0530921780000426	178.102272
jbmc-regression/CharSequenceBug.yml	false	false	2.037737	0.9999023880000095	170.123264	false	2.175296	1.061118386999624	172.953600
jbmc-regression/CharSequenceToString.yml	true	false	2.108882	1.0389311650005766	175.177728	false	2.188377	1.0512442260005628	175.128576
jbmc-regression/ClassCastException1.yml	false	false	1.916318	0.9244608640001388	115.437568	false	1.893084	0.9217221570006586	115.867648
jbmc-regression/ClassCastException2.yml	true	true	1.925557	0.918939569000031	114.487296	true	1.874808	0.8963399510003001	114.823168
jbmc-regression/ClassCastException3.yml	false	false	1.872009	0.897930388999157	115.572736	false	1.942354	0.9152515169998878	116.207616
jbmc-regression/Class_method1.yml	true	true	1.836738	0.8898040250005579	114.114560	true	1.892352	0.8985987369997019	115.195904
jbmc-regression/Inheritance1.yml	true	true	1.882136	0.9007654710003408	114.438144	true	1.967909	0.9339427089998935	114.053120
jbmc-regression/NegativeArraySizeException1.yml	false	false	1.867271	0.9032889560003241	114.958336	false	1.9825	0.938226587999452	116.695040
jbmc-regression/NegativeArraySizeException2.yml	false	false	1.865544	0.9054362229999242	114.757632	false	1.887265	0.9228411750000305	115.716096
jbmc-regression/NullPointerException1.yml	true	true	1.843207	0.8870787490004659	114.089984	true	1.906311	0.9169567600001756	115.826688
jbmc-regression/NullPointerException2.yml	false	false	1.863875	0.8936300650002522	114.384896	false	1.927217	0.9160075709996818	115.216384
jbmc-regression/NullPointerException3.yml	false	false	1.900996	0.9251692990001175	114.839552	false	1.857208	0.892356497000037	115.609600
jbmc-regression/NullPointerException4.yml	false	false	1.946757	0.9341079529995113	114.827264	false	1.936715	0.9227660840006138	115.564544
jbmc-regression/RegexMatches01.yml	true	true	1.867197	0.9093693340000755	114.675712	true	2.014704	0.9670624009995663	116.117504
jbmc-regression/RegexMatches02.yml	false	true	1.915214	0.923293484000169	116.305920	true	2.138861	0.9732531739991828	127.762432
jbmc-regression/RegexSubstitution01.yml	true	true	2.031301	0.9518302690003111	116.817920	true	2.107937	0.9690483479998875	117.907456
jbmc-regression/RegexSubstitution02.yml	false	unknown	1.941084	0.9405326100004459	116.604928	unknown	2.077292	0.9642441030000555	116.191232
jbmc-regression/RegexSubstitution03.yml	true	true	1.906045	0.9346228629992765	116.674560	true	1.965738	0.9372638659997392	117.624832
jbmc-regression/StaticCharMethods01.yml	true	true	1.909007	0.908217615000467	113.987584	true	1.956426	0.9260821440002474	113.176576
